level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,anchor,cap,v_score,exit_reason,pnl
820_upper,2021-03-16,2021,upper,2021-03-15 21:16:00-04:00,2021-03-16 02:00:00-04:00,13090.352101714769,13133.102101714769,28.5,42.75,0.01139240506329114,SL,-42.75
846_lower,2021-04-21,2021,lower,2021-04-20 22:01:00-04:00,2021-04-21 02:04:00-04:00,13715.223625595678,13750.098625595678,23.25,34.875,0.010667067307692308,TP,34.875
852_lower,2021-05-04,2021,lower,2021-05-03 20:20:00-04:00,2021-05-04 07:39:00-04:00,13755.986604749303,13718.861604749303,24.75,37.125,0.010097232610321616,SL,-37.125
858_lower,2021-05-11,2021,lower,2021-05-10 20:54:00-04:00,2021-05-10 20:54:00-04:00,13256.14294880243,13232.14294880243,16.0,24.0,0.011099565463820139,SL,-24.0
872_upper,2021-06-08,2021,upper,2021-06-07 19:24:00-04:00,2021-06-07 20:11:00-04:00,13833.96022555264,13833.96022555264,14.25,21.375,0.015968063872255488,BE,-0.0
882_upper,2021-06-14,2021,upper,2021-06-14 06:38:00-04:00,2021-06-14 08:43:00-04:00,14029.2275428399,14013.4775428399,10.5,15.75,0.011004126547455296,TP,15.75
907_upper,2021-07-26,2021,upper,2021-07-25 19:21:00-04:00,2021-07-25 20:14:00-04:00,15120.247136821468,15120.247136821468,18.5,27.75,0.010946745562130178,BE,-0.0
941_lower,2021-09-13,2021,lower,2021-09-13 01:07:00-04:00,2021-09-13 01:47:00-04:00,15415.380775283047,15428.880775283047,9.0,13.5,0.014563106796116505,TP,13.5
937_lower,2021-09-20,2021,lower,2021-09-19 22:46:00-04:00,2021-09-20 03:17:00-04:00,15233.73195487908,15188.73195487908,30.0,45.0,0.011382978723404255,SL,-45.0
963_lower,2021-10-01,2021,lower,2021-09-30 21:08:00-04:00,2021-10-01 07:24:00-04:00,14625.509577891058,14702.384577891058,51.25,76.875,0.011197319696702521,TP,76.875
967_upper,2021-10-07,2021,upper,2021-10-06 20:36:00-04:00,2021-10-06 21:31:00-04:00,14831.385381404469,14831.385381404469,33.75,50.625,0.010843731431966727,BE,-0.0
969_lower,2021-10-11,2021,lower,2021-10-10 19:39:00-04:00,2021-10-11 03:44:00-04:00,14720.10499822078,14720.10499822078,77.75,116.625,0.019262634631317315,BE,0.0
969_upper,2021-10-15,2021,upper,2021-10-15 01:58:00-04:00,2021-10-15 02:20:00-04:00,15107.52000177922,15068.52000177922,26.0,39.0,0.011179828734538535,TP,39.0
1015_lower,2021-12-14,2021,lower,2021-12-14 04:40:00-05:00,2021-12-14 04:53:00-05:00,16047.80046864001,16007.67546864001,26.75,40.125,0.01262695580565468,SL,-40.125
1020_upper,2021-12-21,2021,upper,2021-12-21 01:50:00-05:00,2021-12-21 02:34:00-05:00,15823.338074885565,15791.838074885565,21.0,31.5,0.016087516087516088,TP,31.5
1022_upper,2021-12-23,2021,upper,2021-12-23 05:52:00-05:00,2021-12-23 06:41:00-05:00,16200.362242887906,16200.362242887906,16.0,24.0,0.0103125,BE,-0.0
