exit,cap_pct_of_price,pnl_pct_of_price,cap_pts,pnl_pts,price_level,month,year
SL,0.015075372831978611,-0.015075372831978611,171.75,-171.75,11392.75306250971,11,2020
SL,0.008304752525185578,-0.008304752525185578,98.625,-98.625,11875.730155823774,11,2020
TP,0.01630671338730898,0.01630671338730898,200.0,200.0,12264.887181720746,11,2020
TP,0.016287135400689552,0.016287135400689552,200.0,200.0,12279.630216098809,11,2020
BE,0.011154754870812368,-0.0,137.625,-0.0,12337.787929352962,11,2020
SL,0.004005713561485489,-0.004005713561485489,49.5,-49.5,12357.34888184149,11,2020
TP,0.00651973700623074,0.00651973700623074,76.875,76.875,11791.119783901191,11,2020
BE,0.017041054634788746,0.0,200.0,0.0,11736.362818279254,11,2020
BE,0.004489872218095714,-0.0,53.625,-0.0,11943.547030998563,11,2020
TP,0.00215359982928074,0.00215359982928074,25.5,25.5,11840.639868789596,11,2020
TP,0.004262131174586417,0.004262131174586417,51.75,51.75,12141.813069613383,11,2020
BE,0.004259235306758318,-0.0,51.75,-0.0,12150.068327496718,11,2020
SL,0.0020920956707562582,-0.0020920956707562582,25.5,-25.5,12188.735131210404,11,2020
cutoff,0.004889800275887396,-0.00022902060058309638,60.0,-2.8101834961944405,12270.439816503806,11,2020
BE,0.0073730550779015835,-0.0,91.5,-0.0,12410.052418330972,12,2020
SL,0.0018472225069762586,-0.0018472225069762586,23.25,-23.25,12586.464225177839,12,2020
TP,0.0027120261117626145,0.0027120261117626145,33.375,33.375,12306.297441328374,12,2020
cutoff,0.005693848249763285,-0.00011945046719311632,71.25,-1.494744049046858,12513.505255950953,12,2020
BE,0.002655219949013754,-0.0,33.375,-0.0,12569.580163178834,12,2020
SL,0.0008842723347898704,-0.0008842723347898704,11.25,-11.25,12722.324964145053,12,2020
BE,0.003670146595109964,-0.0,46.875,-0.0,12771.969398294714,12,2020
TP,0.0036069477068077873,0.0036069477068077873,46.125,46.125,12787.820547812002,12,2020
TP,0.010082960901240185,0.010082960901240185,126.75,126.75,12570.712238347565,12,2020
TP,0.010094775393684377,0.010094775393684377,126.75,126.75,12556.000015542591,12,2020
BE,0.002516228958049764,-0.0,32.25,-0.0,12816.798684725329,12,2020
SL,0.0013101725023001334,-0.0013101725023001334,16.875,-16.875,12879.983338357597,12,2020
TP,0.0035317276559280685,0.0035317276559280685,45.75,45.75,12953.999984457409,1,2021
BE,0.012070309306935506,0.0,151.125,0.0,12520.391661642403,1,2021
BE,0.012085500460750477,0.0,151.125,0.0,12504.65386111247,1,2021
cutoff,0.015217516153322466,-0.004414370778874064,195.75,-56.784107948913515,12863.465892051086,1,2021
SL,0.0028617367719447097,-0.0028617367719447097,37.125,-37.125,12972.891274962194,1,2021
cutoff,0.007044041441939685,-0.0002917118154479302,90.375,-3.742660451163829,12829.992660451164,1,2021
TP,0.0019779106559668475,0.0019779106559668475,25.875,25.875,13081.986247428205,1,2021
TP,0.0019773205702499834,0.0019773205702499834,25.875,25.875,13085.890264484906,1,2021
SL,0.003175321168107971,-0.003175321168107971,41.625,-41.625,13108.910184604236,1,2021
BE,0.005075308277602275,-0.0,67.875,-0.0,13373.571867454353,1,2021
TP,0.003437329812555208,0.003437329812555208,46.5,46.5,13527.942483189676,1,2021
TP,0.003436596377643359,0.003436596377643359,46.5,46.5,13530.829602947819,1,2021
SL,0.005195050504672454,-0.005195050504672454,69.0,-69.0,13281.87280141763,1,2021
SL,0.00351881072298458,-0.00351881072298458,46.875,-46.875,13321.262122402999,2,2021
TP,0.0021223232715636585,0.0021223232715636585,28.875,28.875,13605.373124295926,2,2021
BE,0.004276510483683608,-0.0,58.5,-0.0,13679.37719858237,2,2021
TP,0.004520120056201215,0.004520120056201215,61.875,61.875,13688.795702475387,2,2021
TP,0.0012810627013490124,0.0012810627013490124,17.625,17.625,13758.10878065542,2,2021
TP,0.001281101076444129,0.001281101076444129,17.625,17.625,13757.696659595818,2,2021
cutoff,0.00368153899707507,-0.0013786072044190644,51.0,-19.097710897869547,13852.90228910213,2,2021
TP,0.0029430491207420337,0.0029430491207420337,40.875,40.875,13888.65707742389,2,2021
TP,0.004457001221922537,0.004457001221922537,61.125,61.125,13714.378111306329,2,2021
SL,0.00277121632905466,-0.00277121632905466,37.875,-37.875,13667.283785427255,2,2021
BE,0.0057057524947072445,0.0,77.25,0.0,13538.96792257611,2,2021
BE,0.006773860343626804,0.0,91.5,0.0,13507.807270648547,2,2021
BE,0.006778714026959721,0.0,91.5,0.0,13498.135433371881,2,2021
TP,0.006788162302989149,0.006788162302989149,91.5,91.5,13479.34771089787,2,2021
SL,0.003557141233605004,-0.003557141233605004,48.0,-48.0,13493.982062487335,2,2021
SL,0.011977811838042165,-0.011977811838042165,157.875,-157.875,13180.62114639175,2,2021
TP,0.007164398198553539,0.007164398198553539,95.25,95.25,13294.905916763611,2,2021
SL,0.005877200561902666,-0.005877200561902666,76.5,-76.5,13016.401124013051,3,2021
TP,0.010403611430262118,0.010403611430262118,130.5,130.5,12543.721079432133,3,2021
TP,0.00963023381751591,0.00963023381751591,118.5,118.5,12304.997183398267,3,2021
TP,0.004540366457702003,0.004540366457702003,58.5,58.5,12884.42255597324,3,2021
cutoff,0.015492896464262903,0.006750407676105328,200.0,87.14197105333187,12909.141971053332,3,2021
TP,0.015466384866760012,0.015466384866760012,200.0,200.0,12931.270088192054,3,2021
BE,0.0088872625469608,-0.0,115.5,-0.0,12996.127816601733,3,2021
SL,0.003265763951024661,-0.003265763951024661,42.75,-42.75,13090.352101714769,3,2021
TP,0.005011559627704902,0.005011559627704902,64.875,64.875,12945.071957511602,3,2021
