level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,level,anchor,cap,vxn_prev_close,exit_reason,pnl,gap_through
643_upper,2020-07-06,2020,upper,2020-07-05 21:46:00-04:00,2020-07-05 22:33:00-04:00,10467.840840343804,10467.840840343804,10467.840840343804,28.0,42.0,30.200000762939453,BE,-0.0,False
644_upper,2020-07-07,2020,upper,2020-07-06 19:33:00-04:00,2020-07-06 21:53:00-04:00,10645.149837633802,10599.399837633802,10645.149837633802,30.5,45.75,31.71999931335449,TP,45.75,False
648_upper,2020-07-13,2020,upper,2020-07-13 07:06:00-04:00,2020-07-13 09:33:00-04:00,10926.109448111816,10958.359448111816,10926.109448111816,21.5,32.25,37.59999847412109,SL,-32.25,False
647_lower,2020-07-14,2020,lower,2020-07-14 08:51:00-04:00,2020-07-14 09:38:00-04:00,10556.529124282211,10556.529124282211,10556.529124282211,82.5,123.75,37.61000061035156,BE,0.0,False
646_lower,2020-07-14,2020,lower,2020-07-14 09:52:00-04:00,2020-07-14 13:54:00-04:00,10416.702043158333,10616.702043158333,10416.702043158333,164.5,200.0,37.61000061035156,TP,200.0,False
651_lower,2020-07-16,2020,lower,2020-07-16 05:11:00-04:00,2020-07-16 06:00:00-04:00,10513.317772147313,10513.317772147313,10513.317772147313,68.25,102.375,34.41999816894531,BE,0.0,False
654_lower,2020-07-24,2020,lower,2020-07-24 02:57:00-04:00,2020-07-24 03:32:00-04:00,10437.617993932472,10386.617993932472,10437.617993932472,34.0,51.0,32.61000061035156,SL,-51.0,False
652_lower,2020-07-24,2020,lower,2020-07-24 09:37:00-04:00,2020-07-24 09:40:00-04:00,10357.582540447102,10305.832540447102,10357.582540447102,34.5,51.75,32.61000061035156,SL,-51.75,False
680_upper,2020-08-26,2020,upper,2020-08-26 06:54:00-04:00,2020-08-26 08:16:00-04:00,11773.882955083516,11747.257955083516,11773.882955083516,17.75,26.625,32.099998474121094,TP,26.625,False
683_upper,2020-09-01,2020,upper,2020-09-01 02:16:00-04:00,2020-09-01 03:21:00-04:00,12175.52827197218,12203.65327197218,12175.52827197218,18.75,28.125,34.66999816894531,SL,-28.125,False
684_upper,2020-09-01,2020,upper,2020-09-01 03:22:00-04:00,2020-09-01 04:12:00-04:00,12216.688193135331,12216.688193135331,12216.688193135331,31.25,46.875,34.66999816894531,BE,-0.0,False
685_upper,2020-09-02,2020,upper,2020-09-02 05:56:00-04:00,2020-09-02 09:30:00-04:00,12458.311956416417,12414.061956416417,12458.311956416417,29.5,44.25,36.79999923706055,TP,44.25,False
681_lower,2020-09-04,2020,lower,2020-09-03 19:06:00-04:00,2020-09-04 09:32:00-04:00,11622.124257880094,11800.999257880094,11622.124257880094,119.25,178.875,41.7400016784668,TP,178.875,False
689_lower,2020-09-08,2020,lower,2020-09-08 06:25:00-04:00,2020-09-08 07:23:00-04:00,11253.833137562138,11253.833137562138,11253.833137562138,126.75,190.125,41.02000045776367,BE,0.0,False
675_lower,2020-09-08,2020,lower,2020-09-08 09:41:00-04:00,2020-09-08 09:57:00-04:00,11134.052899648159,11286.302899648159,11134.052899648159,101.5,152.25,41.02000045776367,TP,152.25,False
693_upper,2020-09-16,2020,upper,2020-09-16 04:08:00-04:00,2020-09-16 07:29:00-04:00,11505.250841805442,11464.750841805442,11505.250841805442,27.0,40.5,35.47999954223633,TP,40.5,False
694_lower,2020-09-17,2020,lower,2020-09-17 08:30:00-04:00,2020-09-17 10:45:00-04:00,10994.689272151754,11116.939272151754,10994.689272151754,81.5,122.25,36.27000045776367,TP,122.25,False
697_lower,2020-09-21,2020,lower,2020-09-21 04:48:00-04:00,2020-09-21 05:45:00-04:00,10727.425618727215,10727.425618727215,10727.425618727215,123.25,184.875,36.43000030517578,BE,0.0,False
697_upper,2020-09-28,2020,upper,2020-09-28 04:10:00-04:00,2020-09-28 06:09:00-04:00,11249.324381272785,11301.074381272785,11249.324381272785,34.5,51.75,34.65999984741211,SL,-51.75,False
698_upper,2020-09-28,2020,upper,2020-09-28 06:17:00-04:00,2020-09-28 07:23:00-04:00,11326.604011271396,11326.604011271396,11326.604011271396,29.25,43.875,34.65999984741211,BE,-0.0,False
701_upper,2020-09-28,2020,upper,2020-09-28 08:06:00-04:00,2020-09-28 09:37:00-04:00,11360.491702084564,11297.116702084564,11360.491702084564,42.25,63.375,34.65999984741211,TP,63.375,False
705_lower,2020-09-30,2020,lower,2020-09-30 02:10:00-04:00,2020-09-30 08:39:00-04:00,11169.921437132627,11309.796437132627,11169.921437132627,93.25,139.875,35.41999816894531,TP,139.875,False
704_upper,2020-10-01,2020,upper,2020-10-01 05:41:00-04:00,2020-10-01 15:00:00-04:00,11532.33747309487,11585.25,11532.33747309487,56.75,85.125,34.9900016784668,cutoff,-52.9125269051292,False
707_lower,2020-10-02,2020,lower,2020-10-02 01:30:00-04:00,2020-10-02 05:32:00-04:00,11332.60493006846,11332.60493006846,11332.60493006846,116.25,174.375,36.43999862670898,BE,0.0,False
709_upper,2020-10-08,2020,upper,2020-10-08 02:42:00-04:00,2020-10-08 04:10:00-04:00,11565.107239575818,11545.607239575818,11565.107239575818,13.0,19.5,34.43000030517578,TP,19.5,False
711_upper,2020-10-09,2020,upper,2020-10-08 23:08:00-04:00,2020-10-09 02:11:00-04:00,11596.252640737981,11571.127640737981,11596.252640737981,16.75,25.125,32.599998474121094,TP,25.125,False
708_upper,2020-10-09,2020,upper,2020-10-09 08:56:00-04:00,2020-10-09 11:31:00-04:00,11616.392866816183,11670.392866816183,11616.392866816183,36.0,54.0,32.599998474121094,SL,-54.0,False
707_upper,2020-10-12,2020,upper,2020-10-11 19:46:00-04:00,2020-10-11 21:32:00-04:00,11749.39506993154,11749.39506993154,11749.39506993154,57.25,85.875,33.439998626708984,BE,-0.0,False
712_upper,2020-10-12,2020,upper,2020-10-11 21:52:00-04:00,2020-10-11 22:38:00-04:00,11765.108817550014,11765.108817550014,11765.108817550014,27.25,40.875,33.439998626708984,BE,-0.0,False
713_upper,2020-10-12,2020,upper,2020-10-12 03:58:00-04:00,2020-10-12 04:18:00-04:00,11794.396357206313,11818.771357206313,11794.396357206313,16.25,24.375,33.439998626708984,SL,-24.375,False
715_lower,2020-10-15,2020,lower,2020-10-14 22:50:00-04:00,2020-10-15 04:40:00-04:00,11886.27611815851,11771.90111815851,11886.27611815851,76.25,114.375,34.540000915527344,SL,-114.375,False
712_lower,2020-10-28,2020,lower,2020-10-28 09:40:00-04:00,2020-10-28 10:17:00-04:00,11338.641182449986,11236.266182449986,11338.641182449986,68.25,102.375,43.38999938964844,SL,-102.375,False
708_lower,2020-10-30,2020,lower,2020-10-30 01:45:00-04:00,2020-10-30 02:10:00-04:00,11084.857133183817,11043.232133183817,11084.857133183817,27.75,41.625,41.29999923706055,SL,-41.625,False
729_upper,2020-11-04,2020,upper,2020-11-03 20:52:00-05:00,2020-11-03 22:03:00-05:00,11392.75306250971,11564.50306250971,11392.75306250971,114.5,171.75,33.36000061035156,SL,-171.75,False
726_upper,2020-11-04,2020,upper,2020-11-03 22:10:00-05:00,2020-11-03 22:57:00-05:00,11667.350479194514,11667.350479194514,11667.350479194514,175.5,200.0,33.36000061035156,BE,-0.0,False
723_upper,2020-11-05,2020,upper,2020-11-04 22:27:00-05:00,2020-11-04 22:40:00-05:00,11875.730155823774,11974.355155823774,11875.730155823774,65.75,98.625,32.81999969482422,SL,-98.625,False
731_upper,2020-11-05,2020,upper,2020-11-05 02:26:00-05:00,2020-11-05 05:21:00-05:00,11991.199723329857,12097.324723329857,11991.199723329857,70.75,106.125,32.81999969482422,SL,-106.125,False
733_upper,2020-11-09,2020,upper,2020-11-08 19:40:00-05:00,2020-11-09 07:36:00-05:00,12264.887181720746,12064.887181720746,12264.887181720746,135.75,200.0,31.31999969482422,TP,200.0,False
732_lower,2020-11-10,2020,lower,2020-11-09 19:24:00-05:00,2020-11-09 20:39:00-05:00,11791.119783901191,11867.994783901191,11791.119783901191,51.25,76.875,32.529998779296875,TP,76.875,False
733_lower,2020-11-10,2020,lower,2020-11-09 22:38:00-05:00,2020-11-09 23:27:00-05:00,11736.362818279254,11736.362818279254,11736.362818279254,141.25,200.0,32.529998779296875,BE,0.0,False
735_upper,2020-11-12,2020,upper,2020-11-12 04:58:00-05:00,2020-11-12 05:50:00-05:00,11943.547030998563,11943.547030998563,11943.547030998563,35.75,53.625,30.90999984741211,BE,-0.0,False
763_upper,2021-01-04,2021,upper,2021-01-04 04:16:00-05:00,2021-01-04 09:32:00-05:00,12953.999984457409,12908.249984457409,12953.999984457409,30.5,45.75,30.1299991607666,TP,45.75,False
787_lower,2021-01-27,2021,lower,2021-01-27 09:32:00-05:00,2021-01-27 09:45:00-05:00,13281.87280141763,13212.87280141763,13281.87280141763,46.0,69.0,39.61000061035156,SL,-69.0,False
785_lower,2021-01-27,2021,lower,2021-01-27 09:51:00-05:00,2021-01-27 09:56:00-05:00,13179.557516810324,13248.557516810324,13179.557516810324,46.0,69.0,39.61000061035156,TP,69.0,False
805_lower,2021-02-22,2021,lower,2021-02-22 02:06:00-05:00,2021-02-22 02:19:00-05:00,13493.982062487335,13445.982062487335,13493.982062487335,32.0,48.0,31.020000457763672,SL,-48.0,False
798_lower,2021-02-22,2021,lower,2021-02-22 02:47:00-05:00,2021-02-22 03:51:00-05:00,13424.45039840004,13376.45039840004,13424.45039840004,32.0,48.0,31.020000457763672,SL,-48.0,False
806_lower,2021-02-23,2021,lower,2021-02-23 04:03:00-05:00,2021-02-23 05:16:00-05:00,13180.62114639175,13022.74614639175,13180.62114639175,105.25,157.875,30.6200008392334,SL,-157.875,False
791_lower,2021-02-23,2021,lower,2021-02-23 09:50:00-05:00,2021-02-23 09:53:00-05:00,12767.362877597001,12858.862877597001,12767.362877597001,61.0,91.5,30.6200008392334,TP,91.5,False
812_lower,2021-03-03,2021,lower,2021-03-03 08:34:00-05:00,2021-03-03 09:43:00-05:00,13016.401124013051,12939.901124013051,13016.401124013051,51.0,76.5,33.91999816894531,SL,-76.5,False
810_lower,2021-03-04,2021,lower,2021-03-03 22:58:00-05:00,2021-03-04 02:47:00-05:00,12543.721079432133,12674.221079432133,12543.721079432133,87.0,130.5,34.83000183105469,TP,130.5,False
814_lower,2021-03-05,2021,lower,2021-03-04 20:14:00-05:00,2021-03-04 22:35:00-05:00,12304.997183398267,12423.497183398267,12304.997183398267,79.0,118.5,31.88999938964844,TP,118.5,False
815_upper,2021-03-10,2021,upper,2021-03-10 08:35:00-05:00,2021-03-10 08:42:00-05:00,12884.42255597324,12825.92255597324,12884.42255597324,39.0,58.5,31.520000457763672,TP,58.5,False
816_upper,2021-03-10,2021,upper,2021-03-10 09:05:00-05:00,2021-03-10 15:00:00-05:00,12909.141971053332,12822.0,12909.141971053332,172.0,200.0,31.520000457763672,cutoff,87.14197105333187,False
814_upper,2021-03-11,2021,upper,2021-03-11 04:19:00-05:00,2021-03-11 05:50:00-05:00,12996.127816601733,12996.127816601733,12996.127816601733,77.0,115.5,30.040000915527344,BE,-0.0,False
