config,pool_id,source,year,side,effective_exit_reason,pnl_class,n_trades,base_weight,gross_profit_pts,gross_loss_pts,net_pts,points_pf,avg_stop_pts,avg_target_pts,avg_abs_pnl_pts,scenario_id,scenario_family,target_points_pf,scenario_weight,achieved_points_pf
operational_100r,1rr,validation,2019,lower,SL,loss,12,0.008856088560885609,0.0,340.875,-340.875,0.0,28.40625,28.40625,28.40625,operational_100r__pf_1.35__stable,stable,1.35,0.00934660981471057,1.35
operational_100r,1rr,validation,2019,lower,TP,profit,6,0.004428044280442804,156.75,-0.0,156.75,inf,26.125,26.125,26.125,operational_100r__pf_1.35__stable,stable,1.35,0.004370377540631026,1.35
operational_100r,1rr,validation,2019,lower,cutoff,profit,2,0.0014760147601476014,103.55257165632247,-0.0,103.55257165632247,inf,72.375,72.375,51.776285828161235,operational_100r__pf_1.35__stable,stable,1.35,0.0014672668975164054,1.35
operational_100r,1rr,validation,2019,upper,BE,scratch_or_flat,7,0.0051660516605166054,0.0,-0.0,0.0,inf,25.767857142857142,25.767857142857142,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.005207553753687807,1.35
operational_100r,1rr,validation,2019,upper,FLAT,scratch_or_flat,58,0.042804428044280446,0.0,-0.0,0.0,inf,26.25,26.25,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.04314830253055611,1.35
operational_100r,1rr,validation,2019,upper,SL,loss,7,0.0051660516605166054,0.0,115.5,-115.5,0.0,16.5,16.5,16.5,operational_100r__pf_1.35__stable,stable,1.35,0.005289189680415346,1.35
operational_100r,1rr,validation,2019,upper,TP,profit,6,0.004428044280442804,187.5,-0.0,187.5,inf,31.25,31.25,31.25,operational_100r__pf_1.35__stable,stable,1.35,0.0043523162557046,1.35
operational_100r,1rr,validation,2019,upper,cutoff,loss,1,0.0007380073800738007,0.0,7.811768543288963,-7.811768543288963,0.0,62.25,62.25,7.811768543288963,operational_100r__pf_1.35__stable,stable,1.35,0.0007447193141859313,1.35
operational_100r,1rr,validation,2021,lower,BE,scratch_or_flat,12,0.008856088560885609,0.0,-0.0,0.0,inf,84.25,84.25,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.008927235006321954,1.35
operational_100r,1rr,validation,2021,lower,FLAT,scratch_or_flat,5,0.0036900369003690036,0.0,-0.0,0.0,inf,87.75,87.75,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.0037196812526341474,1.35
