pool_id,config,config_label,target_r,level_id,session_date,year,source,side,entry_time,exit_time,entry_price,exit_price,level,anchor,raw_stop_pts,effective_stop_pts,target_pts,pnl_pts_baseline,pnl_pts_effective,mae_pts,mfe_pts,mae_mfe_status,exit_reason,effective_exit_reason,gap_through,is_flat,rolling_pf_window_trades,rolling_pf_threshold,rolling_pf_reentry,r_multiple_baseline,r_multiple_effective
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1266_lower,2022-12-02,2022,validation,lower,2022-12-02 08:31:00-05:00,2022-12-02 09:30:00-05:00,11789.394449088326,11864.206949088326,11789.394449088326,33.25,49.875,49.875,74.8125,74.8125,74.8125,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.5,1.5
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1268_lower,2022-12-06,2022,validation,lower,2022-12-06 09:44:00-05:00,2022-12-06 09:58:00-05:00,11735.080997899688,11669.455997899688,11735.080997899688,43.75,65.625,65.625,98.4375,-65.625,-65.625,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1269_lower,2022-12-07,2022,validation,lower,2022-12-07 06:44:00-05:00,2022-12-07 07:20:00-05:00,11501.850823944607,11469.600823944607,11501.850823944607,21.5,32.25,32.25,48.375,-32.25,-32.25,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1258_lower,2022-12-07,2022,validation,lower,2022-12-07 07:21:00-05:00,2022-12-07 08:17:00-05:00,11443.71813437147,11443.71813437147,11443.71813437147,60.25,90.375,90.375,135.5625,0.0,0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,0.0,0.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1270_upper,2022-12-09,2022,validation,upper,2022-12-09 08:30:00-05:00,2022-12-09 08:31:00-05:00,11739.75053776858,11636.81303776858,11739.75053776858,45.75,68.625,68.625,102.9375,102.9375,102.9375,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.5,1.5
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1273_upper,2022-12-13,2022,validation,upper,2022-12-13 03:01:00-05:00,2022-12-13 04:27:00-05:00,11855.629740050335,11855.629740050335,11855.629740050335,23.75,35.625,35.625,53.4375,-0.0,-0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,-0.0,-0.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1269_upper,2022-12-13,2022,validation,upper,2022-12-13 08:26:00-05:00,2022-12-13 08:29:00-05:00,12005.524176055393,12078.649176055393,12005.524176055393,48.75,73.125,73.125,109.6875,-73.125,-73.125,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1254_upper,2022-12-13,2022,validation,upper,2022-12-13 08:30:00-05:00,2022-12-13 08:30:00-05:00,12218.957330024152,12292.082330024152,12218.957330024152,48.75,73.125,73.125,109.6875,-73.125,-73.125,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1265_lower,2022-12-16,2022,validation,lower,2022-12-16 03:14:00-05:00,2022-12-16 12:57:00-05:00,11381.964807967212,11287.464807967212,11381.964807967212,63.0,94.5,94.5,141.75,-94.5,-94.5,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1278_lower,2022-12-20,2022,validation,lower,2022-12-19 22:11:00-05:00,2022-12-19 22:43:00-05:00,11121.328961004048,11092.453961004048,11121.328961004048,19.25,28.875,28.875,43.3125,-28.875,0.0,,,missing_source_not_imputed,SL,FLAT,False,True,100,1.1,symmetric,-1.0,0.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1287_lower,2023-01-06,2023,build_years,lower,2023-01-06 04:35:00-05:00,2023-01-06 07:18:00-05:00,10779.425622787592,10779.425622787592,10779.425622787592,24.25,36.375,36.375,54.5625,0.0,0.0,,,missing_source_not_imputed,BE,FLAT,False,True,100,1.1,symmetric,0.0,0.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1282_upper,2023-01-09,2023,build_years,upper,2023-01-09 09:30:00-05:00,2023-01-09 09:52:00-05:00,11211.791251359777,11287.916251359777,11211.791251359777,50.75,76.125,76.125,114.1875,-76.125,0.0,,,missing_source_not_imputed,SL,FLAT,False,True,100,1.1,symmetric,-1.0,0.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1293_upper,2023-01-12,2023,build_years,upper,2023-01-12 08:18:00-05:00,2023-01-12 08:29:00-05:00,11509.48180646574,11431.85680646574,11509.48180646574,34.5,51.75,51.75,77.625,77.625,0.0,,,missing_source_not_imputed,TP,FLAT,False,True,100,1.1,symmetric,1.5,0.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1295_upper,2023-01-16,2023,build_years,upper,2023-01-15 20:58:00-05:00,2023-01-16 03:08:00-05:00,11631.48996521479,11574.67746521479,11631.48996521479,25.25,37.875,37.875,56.8125,56.8125,56.8125,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.5,1.5
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1294_upper,2023-01-18,2023,build_years,upper,2023-01-18 08:30:00-05:00,2023-01-18 08:33:00-05:00,11716.054661598511,11646.304661598511,11716.054661598511,31.0,46.5,46.5,69.75,69.75,69.75,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.5,1.5
