level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,level,anchor,cap,exit_reason,pnl,gap_through,source
108_upper,2018-06-05,2018,upper,2018-06-05 04:00:00-04:00,2018-06-05 10:04:00-04:00,7156.635231374005,7180.635231374005,7156.635231374005,16.0,24.0,SL,-24.0,False,build_years
110_upper,2018-06-07,2018,upper,2018-06-07 02:32:00-04:00,2018-06-07 03:29:00-04:00,7231.326699234774,7231.326699234774,7231.326699234774,3.25,4.875,BE,-0.0,False,build_years
110_lower,2018-06-08,2018,lower,2018-06-08 04:10:00-04:00,2018-06-08 05:03:00-04:00,7113.548300765226,7113.548300765226,7113.548300765226,27.25,40.875,BE,0.0,False,build_years
112_upper,2018-06-11,2018,upper,2018-06-11 09:46:00-04:00,2018-06-11 11:40:00-04:00,7194.487916844135,7194.487916844135,7194.487916844135,11.0,16.5,BE,-0.0,False,build_years
114_upper,2018-06-13,2018,upper,2018-06-12 20:23:00-04:00,2018-06-12 21:10:00-04:00,7254.301705073458,7254.301705073458,7254.301705073458,5.25,7.875,BE,-0.0,False,build_years
117_lower,2018-06-18,2018,lower,2018-06-18 09:34:00-04:00,2018-06-18 10:35:00-04:00,7214.541889345101,7248.291889345101,7214.541889345101,15.0,22.5,TP,33.75,False,build_years
116_lower,2018-06-19,2018,lower,2018-06-18 21:55:00-04:00,2018-06-19 02:00:00-04:00,7207.821104982877,7187.946104982877,7207.821104982877,13.25,19.875,SL,-19.875,False,build_years
118_lower,2018-06-19,2018,lower,2018-06-19 03:07:00-04:00,2018-06-19 04:26:00-04:00,7172.345652503716,7172.345652503716,7172.345652503716,18.0,27.0,BE,0.0,False,build_years
119_upper,2018-06-20,2018,upper,2018-06-19 20:02:00-04:00,2018-06-19 21:15:00-04:00,7262.911183414944,7230.848683414944,7262.911183414944,14.25,21.375,TP,32.0625,False,build_years
118_upper,2018-06-20,2018,upper,2018-06-20 08:54:00-04:00,2018-06-20 09:42:00-04:00,7287.904347496284,7303.279347496284,7287.904347496284,10.25,15.375,SL,-15.375,False,build_years
116_upper,2018-06-21,2018,upper,2018-06-20 21:57:00-04:00,2018-06-20 22:19:00-04:00,7342.428895017123,7357.053895017123,7342.428895017123,9.75,14.625,SL,-14.625,False,build_years
122_lower,2018-06-25,2018,lower,2018-06-25 05:03:00-04:00,2018-06-25 09:39:00-04:00,7161.205449367277,7130.830449367277,7161.205449367277,20.25,30.375,SL,-30.375,False,build_years
126_upper,2018-06-29,2018,upper,2018-06-28 22:36:00-04:00,2018-06-29 03:29:00-04:00,7076.796525590399,7104.546525590399,7076.796525590399,18.5,27.75,SL,-27.75,False,build_years
127_lower,2018-07-02,2018,lower,2018-07-02 02:24:00-04:00,2018-07-02 14:04:00-04:00,7021.939275551633,7076.501775551633,7021.939275551633,24.25,36.375,TP,54.5625,False,build_years
127_upper,2018-07-03,2018,upper,2018-07-03 07:36:00-04:00,2018-07-03 09:32:00-04:00,7161.685724448367,7130.185724448367,7161.685724448367,14.0,21.0,TP,31.5,False,build_years
131_upper,2018-07-06,2018,upper,2018-07-06 01:32:00-04:00,2018-07-06 09:40:00-04:00,7154.980786813723,7154.980786813723,7154.980786813723,37.5,56.25,BE,-0.0,False,build_years
123_upper,2018-07-09,2018,upper,2018-07-08 20:08:00-04:00,2018-07-08 21:14:00-04:00,7245.184324224052,7257.559324224052,7245.184324224052,8.25,12.375,SL,-12.375,False,build_years
133_upper,2018-07-10,2018,upper,2018-07-09 20:54:00-04:00,2018-07-10 01:35:00-04:00,7333.438705783388,7317.688705783388,7333.438705783388,7.0,10.5,TP,15.75,False,build_years
121_upper,2018-07-13,2018,upper,2018-07-12 23:46:00-04:00,2018-07-13 05:00:00-04:00,7406.569912336632,7393.632412336632,7406.569912336632,5.75,8.625,TP,12.9375,False,build_years
140_lower,2018-07-23,2018,lower,2018-07-22 21:00:00-04:00,2018-07-23 09:40:00-04:00,7346.6858821268015,7318.9358821268015,7346.6858821268015,18.5,27.75,SL,-27.75,False,build_years
142_upper,2018-07-24,2018,upper,2018-07-23 19:52:00-04:00,2018-07-23 21:31:00-04:00,7438.102087580435,7438.102087580435,7438.102087580435,10.5,15.75,BE,-0.0,False,build_years
137_upper,2018-07-24,2018,upper,2018-07-23 21:45:00-04:00,2018-07-24 03:07:00-04:00,7442.534348931817,7425.659348931817,7442.534348931817,7.5,11.25,TP,16.875,False,build_years
