level_id,session_date,created_at,expiry_at,physical_touch,side,eligibility,skip_reason,position_state,sal_state,entry_time,exit_time,entry_price,exit_price,anchor,cap,exit_reason,pnl
1716_upper,2024-09-17,2024-08-30 10:30:00-04:00,2024-09-27 10:30:00-04:00,2024-09-17 09:31:00-04:00,upper,executed,,flat,inactive,2024-09-17 09:31:00-04:00,2024-09-17 09:50:00-04:00,19820.673562393225,19741.548562393225,52.75,79.125,TP,79.125
1713_upper,2024-08-27,2024-08-27 10:30:00-04:00,2024-09-24 10:30:00-04:00,2024-09-18 14:00:00-04:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
1714_upper,2024-08-28,2024-08-28 10:30:00-04:00,2024-09-25 10:30:00-04:00,2024-09-18 14:01:00-04:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
1715_upper,2024-08-29,2024-08-29 10:30:00-04:00,2024-09-26 10:30:00-04:00,2024-09-18 14:01:00-04:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
1727_upper,2024-09-19,2024-09-16 10:30:00-04:00,2024-10-14 10:30:00-04:00,2024-09-19 03:57:00-04:00,upper,executed,,flat,inactive,2024-09-19 03:57:00-04:00,2024-09-19 04:43:00-04:00,19933.44593712381,19933.44593712381,57.25,85.875,BE,-0.0
1729_upper,2024-09-19,2024-09-18 10:30:00-04:00,2024-10-16 10:30:00-04:00,2024-09-19 05:12:00-04:00,upper,executed,,flat,inactive,2024-09-19 05:12:00-04:00,2024-09-19 09:12:00-04:00,19965.24882469364,20031.99882469364,44.5,66.75,SL,-66.75
1712_upper,2024-08-26,2024-08-26 10:30:00-04:00,2024-09-23 10:30:00-04:00,2024-09-19 09:27:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
1728_upper,2024-09-17,2024-09-17 10:30:00-04:00,2024-10-15 10:30:00-04:00,2024-09-19 09:30:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
1711_upper,2024-08-23,2024-08-23 10:30:00-04:00,2024-09-20 10:30:00-04:00,2024-09-19 10:27:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
1731_upper,2024-09-26,2024-09-20 10:30:00-04:00,2024-10-18 10:30:00-04:00,2024-09-25 19:46:00-04:00,upper,executed,,flat,inactive,2024-09-25 19:46:00-04:00,2024-09-25 21:55:00-04:00,20281.443045163578,20316.318045163578,23.25,34.875,SL,-34.875
1732_upper,2024-09-23,2024-09-23 10:30:00-04:00,2024-10-21 10:30:00-04:00,2024-09-25 20:09:00-04:00,upper,skipped,position_open,open,active,,,,,,,,
1730_upper,2024-09-19,2024-09-19 10:30:00-04:00,2024-10-17 10:30:00-04:00,2024-09-26 00:53:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
1733_upper,2024-09-24,2024-09-24 10:30:00-04:00,2024-10-22 10:30:00-04:00,2024-09-26 01:26:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
1734_upper,2024-09-25,2024-09-25 10:30:00-04:00,2024-10-23 10:30:00-04:00,2024-09-26 02:00:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
1735_lower,2024-09-26,2024-09-26 10:30:00-04:00,2024-10-24 10:30:00-04:00,2024-09-27 14:31:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
1736_lower,2024-09-30,2024-09-27 10:30:00-04:00,2024-10-25 10:30:00-04:00,2024-09-30 07:49:00-04:00,lower,executed,,flat,inactive,2024-09-30 07:49:00-04:00,2024-09-30 09:10:00-04:00,20131.534418340696,20185.909418340696,36.25,54.375,TP,54.375
1737_lower,2024-10-01,2024-09-30 10:30:00-04:00,2024-10-28 10:30:00-04:00,2024-10-01 10:10:00-04:00,lower,executed,,flat,inactive,2024-10-01 10:10:00-04:00,2024-10-01 10:56:00-04:00,19929.662787250287,19929.662787250287,301.5,200.0,BE,0.0
1734_lower,2024-09-25,2024-09-25 10:30:00-04:00,2024-10-23 10:30:00-04:00,2024-10-01 10:15:00-04:00,lower,skipped,position_open,open,inactive,,,,,,,,
1732_lower,2024-09-23,2024-09-23 10:30:00-04:00,2024-10-21 10:30:00-04:00,2024-10-01 11:08:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
1739_upper,2024-10-04,2024-10-02 10:30:00-04:00,2024-10-30 10:30:00-04:00,2024-10-04 08:56:00-04:00,upper,executed,,flat,inactive,2024-10-04 08:56:00-04:00,2024-10-04 09:53:00-04:00,20236.020450617765,20172.645450617765,42.25,63.375,TP,63.375
1740_upper,2024-10-03,2024-10-03 10:30:00-04:00,2024-10-31 10:30:00-04:00,2024-10-08 15:19:00-04:00,upper,skipped,no_cutoff,n/a,n/a,,,,,,,,
1742_upper,2024-10-07,2024-10-07 10:30:00-04:00,2024-11-04 10:30:00-05:00,2024-10-09 11:00:00-04:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
1743_upper,2024-10-08,2024-10-08 10:30:00-04:00,2024-11-05 10:30:00-05:00,2024-10-09 11:35:00-04:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
1737_upper,2024-09-30,2024-09-30 10:30:00-04:00,2024-10-28 10:30:00-04:00,2024-10-09 11:55:00-04:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
1741_upper,2024-10-14,2024-10-04 10:30:00-04:00,2024-11-01 10:30:00-04:00,2024-10-14 06:17:00-04:00,upper,executed,,flat,inactive,2024-10-14 06:17:00-04:00,2024-10-14 08:42:00-04:00,20521.857371034814,20521.857371034814,25.25,37.875,BE,-0.0
1744_upper,2024-10-14,2024-10-09 10:30:00-04:00,2024-11-06 10:30:00-05:00,2024-10-14 09:31:00-04:00,upper,executed,,flat,inactive,2024-10-14 09:31:00-04:00,2024-10-14 09:46:00-04:00,20567.32937257656,20625.07937257656,38.5,57.75,SL,-57.75
1736_upper,2024-09-27,2024-09-27 10:30:00-04:00,2024-10-25 10:30:00-04:00,2024-10-14 09:34:00-04:00,upper,skipped,position_open,open,active,,,,,,,,
1738_upper,2024-10-01,2024-10-01 10:30:00-04:00,2024-10-29 10:30:00-04:00,2024-10-14 09:45:00-04:00,upper,skipped,position_open,open,active,,,,,,,,
1745_upper,2024-10-10,2024-10-10 10:30:00-04:00,2024-11-07 10:30:00-05:00,2024-10-14 09:49:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
1747_lower,2024-10-14,2024-10-14 10:30:00-04:00,2024-11-11 10:30:00-05:00,2024-10-15 15:06:00-04:00,lower,skipped,no_cutoff,n/a,n/a,,,,,,,,
1748_lower,2024-10-15,2024-10-15 10:30:00-04:00,2024-11-12 10:30:00-05:00,2024-10-15 15:36:00-04:00,lower,skipped,no_cutoff,n/a,n/a,,,,,,,,
1751_lower,2024-10-18,2024-10-18 10:30:00-04:00,2024-11-15 10:30:00-05:00,2024-10-23 13:09:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
1752_lower,2024-10-21,2024-10-21 10:30:00-04:00,2024-11-18 10:30:00-05:00,2024-10-23 13:15:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
1750_lower,2024-10-17,2024-10-17 10:30:00-04:00,2024-11-14 10:30:00-05:00,2024-10-23 13:36:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
1754_lower,2024-10-23,2024-10-23 10:30:00-04:00,2024-11-20 10:30:00-05:00,2024-10-23 13:51:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
1753_lower,2024-10-22,2024-10-22 10:30:00-04:00,2024-11-19 10:30:00-05:00,2024-10-23 14:04:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
1755_upper,2024-10-25,2024-10-24 10:30:00-04:00,2024-11-21 10:30:00-05:00,2024-10-25 09:46:00-04:00,upper,executed,,flat,inactive,2024-10-25 09:46:00-04:00,2024-10-25 10:01:00-04:00,20610.060539983337,20686.560539983337,51.0,76.5,SL,-76.5
1749_upper,2024-10-16,2024-10-16 10:30:00-04:00,2024-11-13 10:30:00-05:00,2024-10-25 09:55:00-04:00,upper,skipped,position_open,open,active,,,,,,,,
1746_upper,2024-10-11,2024-10-11 10:30:00-04:00,2024-11-08 10:30:00-05:00,2024-10-25 10:01:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
1754_upper,2024-10-23,2024-10-23 10:30:00-04:00,2024-11-20 10:30:00-05:00,2024-10-25 10:22:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
1751_upper,2024-10-18,2024-10-18 10:30:00-04:00,2024-11-15 10:30:00-05:00,2024-10-29 15:23:00-04:00,upper,skipped,no_cutoff,n/a,n/a,,,,,,,,
1753_upper,2024-10-22,2024-10-22 10:30:00-04:00,2024-11-19 10:30:00-05:00,2024-10-29 15:23:00-04:00,upper,skipped,no_cutoff,n/a,n/a,,,,,,,,
1752_upper,2024-10-21,2024-10-21 10:30:00-04:00,2024-11-18 10:30:00-05:00,2024-10-29 16:02:00-04:00,upper,skipped,no_cutoff,n/a,n/a,,,,,,,,
1757_lower,2024-10-31,2024-10-28 10:30:00-04:00,2024-11-25 10:30:00-05:00,2024-10-31 03:11:00-04:00,lower,executed,,flat,inactive,2024-10-31 03:11:00-04:00,2024-10-31 07:57:00-04:00,20325.710096820043,20390.585096820043,43.25,64.875,TP,64.875
1759_lower,2024-10-30,2024-10-30 10:30:00-04:00,2024-11-27 10:30:00-05:00,2024-10-31 03:12:00-04:00,lower,skipped,position_open,open,inactive,,,,,,,,
1758_lower,2024-10-29,2024-10-29 10:30:00-04:00,2024-11-26 10:30:00-05:00,2024-10-31 09:49:00-04:00,lower,skipped,simultaneous_collision,flat,inactive,,,,,,,,
1756_lower,2024-10-31,2024-10-25 10:30:00-04:00,2024-11-22 10:30:00-05:00,2024-10-31 09:49:00-04:00,lower,executed,,flat,inactive,2024-10-31 09:49:00-04:00,2024-10-31 10:12:00-04:00,20188.079191159937,20119.079191159937,46.0,69.0,SL,-69.0
1755_lower,2024-10-24,2024-10-24 10:30:00-04:00,2024-11-21 10:30:00-05:00,2024-10-31 10:47:00-04:00,lower,skipped,SAL,n/a,active,,,,,,,,
1745_lower,2024-10-10,2024-10-10 10:30:00-04:00,2024-11-07 10:30:00-05:00,2024-10-31 10:50:00-04:00,lower,skipped,SAL,n/a,active,,,,,,,,
