sess_date,year,side,touched_at,level,anchor,cap,pnl,exit
2018-08-15,2018,lower,2018-08-15 10:05:00-04:00,7342.260198525878,44.5,66.75,9.989801474122032,cutoff
2018-08-27,2018,upper,2018-08-27 09:31:00-04:00,7539.456082785259,8.25,12.375,12.375,TP
2018-08-15,2018,lower,2018-08-15 10:05:00-04:00,7344.418917214741,44.5,66.75,7.831082785259241,cutoff
2018-08-27,2018,upper,2018-08-26 19:44:00-04:00,7523.358781664405,18.75,28.125,-0.0,BE
2018-08-15,2018,lower,2018-08-15 10:17:00-04:00,7334.641218335595,44.5,66.75,17.608781664404887,cutoff
2018-08-27,2018,upper,2018-08-26 19:34:00-04:00,7518.629190692935,18.75,28.125,-28.125,SL
2018-08-17,2018,lower,2018-08-17 10:23:00-04:00,7330.765819473789,33.25,49.875,49.875,TP
2018-08-23,2018,upper,2018-08-23 09:52:00-04:00,7465.239550413358,7.25,10.875,10.875,TP
2018-08-24,2018,upper,2018-08-24 10:47:00-04:00,7492.083614112034,19.0,28.5,-0.0,BE
2018-08-24,2018,upper,2018-08-24 10:47:00-04:00,7490.121756723848,19.0,28.5,-2.6282432761518066,cutoff
2018-08-24,2018,upper,2018-08-24 10:34:00-04:00,7478.2286442673285,19.0,28.5,-14.521355732671509,cutoff
2018-08-27,2018,upper,2018-08-27 05:25:00-04:00,7531.742546644753,9.5,14.25,-0.0,BE
2018-08-27,2018,upper,2018-08-27 05:25:00-04:00,7531.525919175892,9.5,14.25,-0.0,BE
2018-08-29,2018,upper,2018-08-29 10:29:00-04:00,7624.1176692600475,30.25,45.375,-37.88233073995252,cutoff
2018-09-06,2018,lower,2018-09-06 10:43:00-04:00,7448.0073307399525,55.25,82.875,-2.757330739952522,cutoff
2018-09-05,2018,lower,2018-09-05 10:23:00-04:00,7515.135799172382,69.5,104.25,0.0,BE
2018-09-05,2018,lower,2018-09-05 10:23:00-04:00,7515.520219994572,69.5,104.25,0.0,BE
2018-09-05,2018,lower,2018-09-05 09:52:00-04:00,7577.238516255833,11.25,16.875,-16.875,SL
2018-09-05,2018,lower,2018-09-05 09:59:00-04:00,7561.364545636272,11.25,16.875,-16.875,SL
2018-09-04,2018,lower,2018-09-04 09:39:00-04:00,7605.942675398482,9.5,14.25,-14.25,SL
2018-09-05,2018,lower,2018-09-05 10:23:00-04:00,7522.885360443741,69.5,104.25,14.614639556259135,cutoff
2018-09-06,2018,lower,2018-09-06 10:43:00-04:00,7447.822449429865,55.25,82.875,-2.5724494298647187,cutoff
2018-09-21,2018,upper,2018-09-21 03:59:00-04:00,7635.916598032156,12.5,18.75,18.75,TP
2018-09-07,2018,lower,2018-09-07 09:05:00-04:00,7394.458401967844,40.25,60.375,60.375,TP
2018-09-13,2018,upper,2018-09-13 09:32:00-04:00,7548.283482939592,20.5,30.75,-30.75,SL
2018-09-13,2018,upper,2018-09-13 09:39:00-04:00,7566.183074067292,20.5,30.75,30.75,TP
2018-09-13,2018,upper,2018-09-13 09:32:00-04:00,7548.115749269421,20.5,30.75,-30.75,SL
2018-09-14,2018,upper,2018-09-13 20:00:00-04:00,7598.7786363810155,8.25,12.375,-12.375,SL
2018-09-17,2018,lower,2018-09-17 10:01:00-04:00,7513.461735243864,47.5,71.25,-13.711735243863586,cutoff
2018-09-20,2018,upper,2018-09-20 10:21:00-04:00,7608.29868929869,33.75,50.625,-0.0,BE
2018-10-01,2018,upper,2018-10-01 05:11:00-04:00,7718.388745116195,5.25,7.875,-0.0,BE
2018-09-26,2018,upper,2018-09-25 22:55:00-04:00,7618.026160366675,8.5,12.75,12.75,TP
2018-10-01,2018,upper,2018-09-30 19:08:00-04:00,7687.36925730055,16.0,24.0,-0.0,BE
2018-10-01,2018,upper,2018-10-01 09:45:00-04:00,7722.006062172006,14.5,21.75,21.75,TP
2018-10-04,2018,lower,2018-10-04 10:24:00-04:00,7550.618937827994,56.25,84.375,0.0,BE
2018-10-04,2018,lower,2018-10-04 02:18:00-04:00,7610.856384048243,12.75,19.125,0.0,BE
2018-10-04,2018,lower,2018-10-04 10:22:00-04:00,7556.187971911309,56.25,84.375,-84.375,SL
