touched_at,year,side,z_gate,gate_pass,cap_5min,cap_30min,cap_1h,cap_4h,entry,sign
2023-07-12 08:30:00-04:00,2023,upper,1.6730309957645209,False,2.2000000000000455,2.2000000000000455,3.099999999999909,3.099999999999909,1946.830171156454,-1.0
2023-07-12 09:30:00-04:00,2023,upper,3.4659025318336747,False,4.399999999999864,11.199999999999818,17.0,3.099999999999909,1957.5789859800814,-1.0
2023-07-12 08:36:00-04:00,2023,upper,8.368557893619693,False,12.199999999999818,2.2000000000000455,3.099999999999909,3.099999999999909,1953.4473984600425,-1.0
2023-07-12 12:39:00-04:00,2023,upper,0.8821185375478411,False,1.0,3.1000000000001364,5.0,24.899999999999864,1964.6225313945392,-1.0
2023-07-18 10:42:00-04:00,2023,upper,2.3279411301003496,False,2.7999999999999545,11.599999999999909,8.799999999999955,11.900000000000091,1987.0005312101396,-1.0
2023-07-19 22:02:00-04:00,2023,upper,2.0563159848753068,False,1.0,3.0,6.100000000000136,3.5,1988.773798412589,-1.0
2023-07-19 22:02:00-04:00,2023,upper,2.0563159848753068,False,1.0,3.0,6.100000000000136,3.5,1988.472870704829,-1.0
2023-07-18 10:01:00-04:00,2023,upper,2.11395137030482,False,1.800000000000182,8.0,8.799999999999955,11.900000000000091,1978.9920382488306,-1.0
2023-07-31 08:31:00-04:00,2023,upper,3.443859297060379,False,2.199999999999818,5.099999999999909,3.2999999999999545,12.5,2003.0637259124264,-1.0
2023-07-27 10:06:00-04:00,2023,lower,-2.1354666096874935,False,3.2999999999999545,13.400000000000091,17.40000000000009,7.399999999999864,1942.4362740875738,1.0
2023-07-31 09:32:00-04:00,2023,upper,2.0093499329945304,False,1.800000000000182,3.2999999999999545,9.900000000000091,12.5,2005.6263352052779,-1.0
2023-07-24 19:27:00-04:00,2023,lower,-1.1011306979039281,False,0.7000000000000455,0.5,1.1000000000001364,8.200000000000045,1954.7736647947222,1.0
2023-07-31 09:45:00-04:00,2023,upper,1.9690513008688384,False,1.5,3.2999999999999545,9.900000000000091,12.5,2007.9033329274976,-1.0
2023-07-25 10:00:00-04:00,2023,lower,-0.7589030757523911,False,1.5,5.2999999999999545,5.2999999999999545,10.799999999999955,1952.4966670725025,1.0
2023-07-27 23:00:00-04:00,2023,upper,0.5267361586130759,False,1.0,2.400000000000091,3.800000000000182,4.5,1990.5339998097222,-1.0
2023-08-14 09:30:00-04:00,2023,lower,-3.0734635261637857,False,1.8999999999998636,5.7000000000000455,8.5,4.0,1936.6160001902776,1.0
2023-07-27 23:31:00-04:00,2023,upper,0.20054739650366743,False,4.0,4.0,3.800000000000182,4.5,1992.5797321476887,-1.0
2023-08-14 09:30:00-04:00,2023,lower,-3.0734635261637857,False,1.8999999999998636,5.7000000000000455,8.5,4.0,1936.8202678523114,1.0
2023-07-27 21:37:00-04:00,2023,upper,1.0143313753981145,False,1.5,2.0,1.8999999999998636,4.5,1988.6624383088272,-1.0
2023-08-16 13:37:00-04:00,2023,lower,-1.0592398788970516,False,0.7999999999999545,1.8999999999998636,3.7000000000000455,7.5,1927.2875616911729,1.0
2023-07-28 07:23:00-04:00,2023,upper,2.132140591682342,False,1.5,1.900000000000091,3.7000000000000455,7.899999999999864,1994.492717734614,-1.0
2023-07-27 12:35:00-04:00,2023,lower,-0.5985854128191579,False,0.6000000000001364,4.400000000000091,3.599999999999909,37.299999999999955,1942.157282265386,1.0
