level_id,level_idx,session_date,created_at,expiry_at,side,level,touched_at
60_lower,60,2018-03-27,2018-03-27 10:30:00-04:00,2018-04-25 10:30:00-04:00,lower,6741.8577607793995,2018-03-27 12:29:00-04:00
61_upper,61,2018-03-28,2018-03-28 10:30:00-04:00,2018-04-26 10:30:00-04:00,upper,6608.955357084838,2018-03-29 13:56:00-04:00
61_lower,61,2018-03-28,2018-03-28 10:30:00-04:00,2018-04-26 10:30:00-04:00,lower,6404.919642915162,2018-04-02 11:36:00-04:00
62_upper,62,2018-03-29,2018-03-29 10:30:00-04:00,2018-04-27 10:30:00-04:00,upper,6570.944660522246,2018-03-29 11:07:00-04:00
62_lower,62,2018-03-29,2018-03-29 10:30:00-04:00,2018-04-27 10:30:00-04:00,lower,6419.305339477754,2018-04-02 11:07:00-04:00
63_upper,63,2018-04-02,2018-04-02 10:30:00-04:00,2018-04-30 10:30:00-04:00,upper,6620.7238512087715,2018-04-04 22:07:00-04:00
63_lower,63,2018-04-02,2018-04-02 10:30:00-04:00,2018-04-30 10:30:00-04:00,lower,6435.1511487912285,2018-04-02 11:02:00-04:00
64_upper,64,2018-04-03,2018-04-03 10:30:00-04:00,2018-05-01 10:30:00-04:00,upper,6536.941487863309,2018-04-04 15:00:00-04:00
64_lower,64,2018-04-03,2018-04-03 10:30:00-04:00,2018-05-01 10:30:00-04:00,lower,6329.058512136691,2018-04-04 04:11:00-04:00
65_upper,65,2018-04-04,2018-04-04 10:30:00-04:00,2018-05-02 10:30:00-04:00,upper,6427.348039664472,2018-04-04 10:59:00-04:00
65_lower,65,2018-04-04,2018-04-04 10:30:00-04:00,2018-05-02 10:30:00-04:00,lower,6290.401960335528,
66_upper,66,2018-04-05,2018-04-05 10:30:00-04:00,2018-05-03 10:30:00-04:00,upper,6683.852153036116,2018-04-12 10:15:00-04:00
66_lower,66,2018-04-05,2018-04-05 10:30:00-04:00,2018-05-03 10:30:00-04:00,lower,6570.522846963884,2018-04-05 13:41:00-04:00
