scale,a,b,gamma,gamma_PF,control_PF,delta_PF,gamma_avg_R,control_avg_R,delta_avg_R,gamma_max_dd_R,control_max_dd_R,gamma_net_pts,control_net_pts
S1_range30m,1.25,1.25,-0.15,0.8488,0.8232,0.025599999999999956,-0.0722,-0.0852,0.012999999999999998,-177.9124,-204.5219,-5134.5,-5778.06
S1_range30m,1.25,1.25,-0.3,0.8482,0.8232,0.02499999999999991,-0.0727,-0.0852,0.012499999999999997,-176.8754,-204.5219,-5567.64,-5778.06
S1_range30m,1.25,1.5,0.15,0.8599,0.8394,0.020499999999999963,-0.0588,-0.0684,0.009600000000000004,-150.1012,-166.25,-2440.21,-3828.52
S1_range30m,1.25,1.5,0.3,0.8707,0.8394,0.031299999999999994,-0.0538,-0.0684,0.014600000000000002,-142.1989,-166.25,-1308.95,-3828.52
S1_range30m,1.25,1.5,-0.15,0.8442,0.8394,0.0047999999999999154,-0.0665,-0.0684,0.001899999999999999,-159.5249,-166.25,-4524.07,-3828.52
S1_range30m,1.25,1.5,-0.3,0.8493,0.8394,0.00990000000000002,-0.0642,-0.0684,0.004200000000000009,-147.52,-166.25,-4717.25,-3828.52
S1_range30m,1.25,1.75,0.15,0.8867,0.864,0.022700000000000053,-0.042,-0.0513,0.009299999999999996,-116.359,-127.7768,-200.39,-1733.72
S1_range30m,1.25,1.75,0.3,0.8985,0.864,0.034499999999999975,-0.0372,-0.0513,0.014100000000000001,-110.5746,-127.7768,363.07,-1733.72
S1_range30m,1.25,1.75,-0.15,0.8745,0.864,0.010500000000000065,-0.0472,-0.0513,0.0040999999999999995,-117.3614,-127.7768,-1925.98,-1733.72
S1_range30m,1.25,1.75,-0.3,0.8687,0.864,0.0047000000000000375,-0.0498,-0.0513,0.0015000000000000013,-115.8837,-127.7768,-3421.35,-1733.72
S1_range30m,1.25,2.0,0.15,0.8923,0.8864,0.005900000000000016,-0.0363,-0.0384,0.0020999999999999977,-99.8711,-102.4156,-764.6,-824.77
S1_range30m,1.25,2.0,0.3,0.8964,0.8864,0.010000000000000009,-0.0347,-0.0384,0.003699999999999995,-99.5179,-102.4156,-367.23,-824.77
S1_range30m,1.25,2.0,-0.15,0.8873,0.8864,0.0009000000000000119,-0.0384,-0.0384,0.0,-101.0859,-102.4156,-1088.61,-824.77
S1_range30m,1.25,2.0,-0.3,0.8893,0.8864,0.0029000000000000137,-0.0377,-0.0384,0.0006999999999999992,-96.3623,-102.4156,-1467.41,-824.77
S1_range30m,1.5,0.5,0.15,0.8615,0.8425,0.019000000000000017,-0.1068,-0.1222,0.015399999999999997,-284.2724,-315.5629,-2106.74,-2840.76
S1_range30m,1.5,0.5,0.3,0.8444,0.8425,0.0019000000000000128,-0.1201,-0.1222,0.0021000000000000046,-308.7064,-315.5629,-3425.73,-2840.76
S1_range30m,1.5,0.5,-0.15,0.8309,0.8425,-0.011600000000000055,-0.1323,-0.1222,-0.010099999999999998,-341.0822,-315.5629,-3811.92,-2840.76
S1_range30m,1.5,0.5,-0.3,0.8314,0.8425,-0.011099999999999999,-0.1322,-0.1222,-0.010000000000000009,-341.0797,-315.5629,-4366.99,-2840.76
S1_range30m,1.5,0.75,0.15,0.8699,0.8689,0.0010000000000000009,-0.0851,-0.0857,0.0006000000000000033,-216.1396,-216.7506,-2909.43,-3816.34
S1_range30m,1.5,0.75,0.3,0.8568,0.8689,-0.0121,-0.0938,-0.0857,-0.008099999999999996,-228.3392,-216.7506,-3414.25,-3816.34
S1_range30m,1.5,0.75,-0.15,0.8439,0.8689,-0.025000000000000022,-0.1032,-0.0857,-0.0175,-254.9872,-216.7506,-4269.05,-3816.34
S1_range30m,1.5,0.75,-0.3,0.8483,0.8689,-0.02059999999999995,-0.1001,-0.0857,-0.014399999999999996,-248.126,-216.7506,-4027.0,-3816.34
S1_range30m,1.5,1.0,0.15,0.8787,0.8723,0.006400000000000072,-0.0686,-0.0724,0.0038000000000000117,-170.9465,-186.2303,-2837.13,-3609.8
S1_range30m,1.5,1.0,0.3,0.8651,0.8723,-0.007199999999999984,-0.0764,-0.0724,-0.00399999999999999,-187.0894,-186.2303,-4728.31,-3609.8
S1_range30m,1.5,1.0,-0.15,0.8561,0.8723,-0.016199999999999992,-0.0827,-0.0724,-0.01029999999999999,-211.4664,-186.2303,-4148.73,-3609.8
S1_range30m,1.5,1.0,-0.3,0.8379,0.8723,-0.034399999999999986,-0.0942,-0.0724,-0.0218,-235.4195,-186.2303,-5439.22,-3609.8
S1_range30m,1.5,1.25,0.15,0.8679,0.8474,0.020499999999999963,-0.0662,-0.0774,0.011200000000000002,-179.335,-185.9826,-2715.18,-5397.72
S1_range30m,1.5,1.25,0.3,0.8688,0.8474,0.021399999999999975,-0.0653,-0.0774,0.0121,-174.5599,-185.9826,-4021.29,-5397.72
S1_range30m,1.5,1.25,-0.15,0.8421,0.8474,-0.005300000000000082,-0.0807,-0.0774,-0.0032999999999999974,-196.8942,-185.9826,-6255.3,-5397.72
S1_range30m,1.5,1.25,-0.3,0.8401,0.8474,-0.007300000000000084,-0.082,-0.0774,-0.004600000000000007,-201.6941,-185.9826,-7224.2,-5397.72
S1_range30m,1.5,1.5,0.15,0.8857,0.8674,0.018300000000000094,-0.0509,-0.0597,0.008800000000000002,-132.6401,-147.8381,-1766.04,-3479.46
S1_range30m,1.5,1.5,0.3,0.8844,0.8674,0.017000000000000015,-0.0513,-0.0597,0.008400000000000005,-133.105,-147.8381,-1793.13,-3479.46
S1_range30m,1.5,1.5,-0.15,0.8479,0.8674,-0.019499999999999962,-0.0695,-0.0597,-0.009800000000000003,-166.4785,-147.8381,-4961.34,-3479.46
S1_range30m,1.5,1.5,-0.3,0.8405,0.8674,-0.026899999999999924,-0.0734,-0.0597,-0.013700000000000004,-169.358,-147.8381,-6329.44,-3479.46
S1_range30m,1.5,1.75,0.15,0.9078,0.8897,0.018100000000000005,-0.0366,-0.0443,0.0076999999999999985,-106.9891,-109.8613,389.18,-1309.93
S1_range30m,1.5,1.75,0.3,0.9044,0.8897,0.014699999999999935,-0.0378,-0.0443,0.006499999999999999,-103.9759,-109.8613,-498.43,-1309.93
S1_range30m,1.5,1.75,-0.15,0.8758,0.8897,-0.013900000000000023,-0.0505,-0.0443,-0.006200000000000004,-120.5182,-109.8613,-2535.45,-1309.93
S1_range30m,1.5,1.75,-0.3,0.8597,0.8897,-0.030000000000000027,-0.0578,-0.0443,-0.013499999999999998,-130.8609,-109.8613,-5414.65,-1309.93
S1_range30m,1.5,2.0,0.15,0.9095,0.9073,0.0021999999999999797,-0.0329,-0.0337,0.0008000000000000021,-88.7066,-88.4451,-326.86,-650.05
S1_range30m,1.5,2.0,0.3,0.9078,0.9073,0.000500000000000056,-0.0333,-0.0337,0.0003999999999999976,-88.3957,-88.4451,-969.3,-650.05
S1_range30m,1.5,2.0,-0.15,0.8829,0.9073,-0.024399999999999977,-0.0434,-0.0337,-0.0097,-102.041,-88.4451,-2127.18,-650.05
S1_range30m,1.5,2.0,-0.3,0.8818,0.9073,-0.025499999999999967,-0.044,-0.0337,-0.010299999999999997,-105.755,-88.4451,-3133.61,-650.05
S1_range30m,1.75,0.5,0.15,0.8516,0.8371,0.014500000000000068,-0.1177,-0.1298,0.0121,-310.8291,-338.5052,-3450.5,-3669.56
S1_range30m,1.75,0.5,0.3,0.8278,0.8371,-0.009299999999999975,-0.137,-0.1298,-0.007200000000000012,-352.5829,-338.5052,-4204.76,-3669.56
S1_range30m,1.75,0.5,-0.15,0.8448,0.8371,0.00770000000000004,-0.1241,-0.1298,0.005699999999999997,-324.2639,-338.5052,-3530.71,-3669.56
S1_range30m,1.75,0.5,-0.3,0.8482,0.8371,0.011099999999999999,-0.1215,-0.1298,0.008300000000000002,-327.0788,-338.5052,-3171.66,-3669.56
S1_range30m,1.75,0.75,0.15,0.8622,0.8707,-0.008500000000000063,-0.0933,-0.0875,-0.0058,-230.9395,-222.3733,-4109.36,-4276.88
S1_range30m,1.75,0.75,0.3,0.8506,0.8707,-0.020100000000000007,-0.1015,-0.0875,-0.014000000000000012,-249.77,-222.3733,-3631.34,-4276.88
S1_range30m,1.75,0.75,-0.15,0.8603,0.8707,-0.010400000000000076,-0.095,-0.0875,-0.007500000000000007,-242.9045,-222.3733,-3771.66,-4276.88
S1_range30m,1.75,0.75,-0.3,0.866,0.8707,-0.0047000000000000375,-0.0911,-0.0875,-0.003600000000000006,-238.3514,-222.3733,-2543.09,-4276.88
S1_range30m,1.75,1.0,0.15,0.872,0.8686,0.0033999999999999586,-0.0755,-0.0778,0.0022999999999999965,-186.1779,-197.8532,-3901.01,-4393.95
S1_range30m,1.75,1.0,0.3,0.8646,0.8686,-0.0040000000000000036,-0.0799,-0.0778,-0.0021000000000000046,-200.8315,-197.8532,-4746.23,-4393.95
S1_range30m,1.75,1.0,-0.15,0.879,0.8686,0.010399999999999965,-0.0718,-0.0778,0.0059999999999999915,-191.7649,-197.8532,-3542.06,-4393.95
S1_range30m,1.75,1.0,-0.3,0.8681,0.8686,-0.000500000000000056,-0.079,-0.0778,-0.0012000000000000066,-210.1007,-197.8532,-3522.31,-4393.95
S1_range30m,1.75,1.25,0.15,0.87,0.8539,0.016100000000000003,-0.0681,-0.0775,0.009400000000000006,-182.0017,-187.3084,-3665.3,-6175.31
S1_range30m,1.75,1.25,0.3,0.8727,0.8539,0.01880000000000004,-0.0664,-0.0775,0.011099999999999999,-178.2372,-187.3084,-3931.63,-6175.31
S1_range30m,1.75,1.25,-0.15,0.8718,0.8539,0.017900000000000027,-0.0677,-0.0775,0.009800000000000003,-173.6771,-187.3084,-5429.13,-6175.31
S1_range30m,1.75,1.25,-0.3,0.8698,0.8539,0.015900000000000025,-0.0691,-0.0775,0.008400000000000005,-179.849,-187.3084,-5333.79,-6175.31
S1_range30m,1.75,1.5,0.15,0.8857,0.8783,0.007400000000000073,-0.0536,-0.0575,0.0039000000000000007,-139.9706,-145.5381,-2289.69,-3882.41
S1_range30m,1.75,1.5,0.3,0.887,0.8783,0.008700000000000041,-0.0528,-0.0575,0.004700000000000003,-137.8947,-145.5381,-1411.5,-3882.41
S1_range30m,1.75,1.5,-0.15,0.8804,0.8783,0.0020999999999999908,-0.0567,-0.0575,0.0008000000000000021,-144.7842,-145.5381,-3923.25,-3882.41
S1_range30m,1.75,1.5,-0.3,0.8759,0.8783,-0.0023999999999999577,-0.0591,-0.0575,-0.0015999999999999973,-147.4561,-145.5381,-4051.08,-3882.41
S1_range30m,1.75,1.75,0.15,0.9054,0.8959,0.009499999999999953,-0.0398,-0.0442,0.004400000000000001,-109.184,-112.7948,-89.65,-1488.84
S1_range30m,1.75,1.75,0.3,0.8965,0.8959,0.0005999999999999339,-0.0436,-0.0442,0.0006000000000000033,-119.1852,-112.7948,-262.39,-1488.84
