variant,n,net,pf,maxdd,avg,wr,twr,tp,sl,be,cut,year
expiry_exclude_creation_ts,128,1474.4105056743501,1.455770815342189,-479.9567476103002,11.51883207558086,39.0625,56.97674418604651,49,37,36,6,2022
expiry_exclude_creation_ts,123,520.4753275068379,1.176331506557461,-724.5988499692976,4.231506727697869,40.65040650406504,57.89473684210527,44,32,30,17,2023
expiry_exclude_creation_ts,123,78.50613253521806,1.0221320221391765,-605.9285890308165,0.6382612401237241,37.39837398373984,48.837209302325576,42,44,24,13,2024
expiry_exclude_creation_ts,148,2380.708640308396,1.6199869626786023,-484.927456947531,16.085869191272945,44.5945945945946,63.10679611650486,65,38,36,9,2025
expiry_exclude_creation_ts,68,2876.0562253813987,3.195630674362142,-312.375,42.29494449090292,52.94117647058824,74.4186046511628,32,11,17,8,2026
sl_cap_tp_uncapped,131,11.62022082310341,1.007960528460659,-362.6077046449236,0.08870397574888099,38.93129770992366,55.81395348837209,48,38,35,10,2018
sl_cap_tp_uncapped,125,-227.31538275720595,0.8282261756930213,-472.04102584820066,-1.8185230620576476,32.800000000000004,43.20987654320987,35,46,28,15,2019
sl_cap_tp_uncapped,139,908.1688206764047,1.3279355117863783,-632.6200673522308,6.533588637959746,32.37410071942446,48.23529411764706,41,44,43,11,2020
sl_cap_tp_uncapped,132,884.0120445349203,1.3425761029305927,-410.2342058528084,6.697060943446366,40.909090909090914,58.42696629213483,52,37,29,14,2021
sl_cap_tp_uncapped,128,1337.0856245207888,1.413320851231616,-479.9567476103002,10.445981441568662,39.0625,55.952380952380956,47,37,36,8,2022
sl_cap_tp_uncapped,123,231.97532750683786,1.0785907742820025,-872.8801270979129,1.8859782724133158,39.02439024390244,56.75675675675676,42,32,32,17,2023
sl_cap_tp_uncapped,123,-160.2435262767649,0.9548250161269107,-605.9285890308165,-1.3027928965590643,36.58536585365854,46.98795180722892,39,44,25,15,2024
sl_cap_tp_uncapped,145,1494.6461022540461,1.3588292751537048,-817.0547895095697,10.30790415347618,41.37931034482759,58.76288659793815,57,40,38,10,2025
sl_cap_tp_uncapped,68,2637.15578772773,2.968811819235797,-312.375,38.78170276070191,50.0,71.7948717948718,28,11,18,11,2026
tp_cap_sl_uncapped,131,11.62022082310341,1.007960528460659,-362.6077046449236,0.08870397574888099,38.93129770992366,55.81395348837209,48,38,35,10,2018
tp_cap_sl_uncapped,125,-227.31538275720595,0.8282261756930213,-472.04102584820066,-1.8185230620576476,32.800000000000004,43.20987654320987,35,46,28,15,2019
tp_cap_sl_uncapped,139,1231.245863834738,1.4779028366714426,-615.4125269051292,8.85788391248013,33.093525179856115,50.0,43,43,43,10,2020
tp_cap_sl_uncapped,132,805.0120445349203,1.3119616873252544,-410.2342058528084,6.098576094961517,40.909090909090914,58.42696629213483,52,37,29,14,2021
tp_cap_sl_uncapped,128,1480.7637680870484,1.458635465937861,-479.9567476103002,11.568466938180066,39.0625,58.333333333333336,49,35,36,8,2022
tp_cap_sl_uncapped,123,520.4753275068379,1.176331506557461,-724.5988499692976,4.231506727697869,40.65040650406504,57.89473684210527,44,32,30,17,2023
tp_cap_sl_uncapped,123,62.13113253521806,1.0174351842208063,-605.9285890308165,0.505131158822911,37.39837398373984,48.837209302325576,42,44,24,13,2024
tp_cap_sl_uncapped,148,2284.083640308396,1.5802234879121007,-484.927456947531,15.432997569651324,44.5945945945946,63.10679611650486,65,38,36,9,2025
tp_cap_sl_uncapped,68,3097.890906898214,3.7505639401470376,-312.375,45.55721921909138,54.41176470588235,76.19047619047619,32,10,17,9,2026
both_uncapped,131,11.62022082310341,1.007960528460659,-362.6077046449236,0.08870397574888099,38.93129770992366,55.81395348837209,48,38,35,10,2018
both_uncapped,125,-227.31538275720595,0.8282261756930213,-472.04102584820066,-1.8185230620576476,32.800000000000004,43.20987654320987,35,46,28,15,2019
both_uncapped,139,1308.4865271620401,1.5078834710798568,-615.4125269051292,9.413572137856404,33.093525179856115,48.80952380952381,41,43,43,12,2020
both_uncapped,132,884.0120445349203,1.3425761029305927,-410.2342058528084,6.697060943446366,40.909090909090914,58.42696629213483,52,37,29,14,2021
both_uncapped,128,1343.438886933487,1.4161019692315704,-479.9567476103002,10.495616304167868,39.0625,57.3170731707317,47,35,36,10,2022
both_uncapped,123,231.97532750683786,1.0785907742820025,-872.8801270979129,1.8859782724133158,39.02439024390244,56.75675675675676,42,32,32,17,2023
both_uncapped,123,-176.6185262767649,0.95043746320418,-605.9285890308165,-1.4359229778598772,36.58536585365854,46.98795180722892,39,44,25,15,2024
both_uncapped,145,1515.485388252342,1.3656617094126189,-813.192056632488,10.451623367257532,41.37931034482759,60.0,57,38,38,12,2025
both_uncapped,68,2858.9904692445452,3.4735161275548245,-312.375,42.04397748889037,51.470588235294116,73.68421052631578,28,10,18,12,2026
