level_id,level_index,level_session,created_at,expiry_at,sess_date,year,side,sign,level,touched_at,anchor,cutoff,entry_allowed,has_anchor,has_cutoff,pnl,exit,exit_time,tp_dist,sl_dist,variant,norm_level_id,physical_touch,identity
386:lower,386,2019-07-03,2019-07-03 10:30:00-04:00,2019-07-31 10:30:00-04:00,2019-07-08,2019,lower,1.0,7791.326459544721,2019-07-08 09:37:00-04:00,9.25,2019-07-08 15:00:00-04:00,True,True,True,0.0,BE,2019-07-08 10:30:00-04:00,13.875,13.875,base_legacy_entrybar,386_lower,2019-07-08 13:37:00+00:00,386_lower|lower|2019-07-08 13:37:00+00:00
388:lower,388,2019-07-05,2019-07-05 10:30:00-04:00,2019-08-02 10:30:00-04:00,2019-07-09,2019,lower,1.0,7762.717990386845,2019-07-08 23:23:00-04:00,12.0,2019-07-09 15:00:00-04:00,True,True,True,-18.0,SL,2019-07-09 03:50:00-04:00,18.0,18.0,base_legacy_entrybar,388_lower,2019-07-09 03:23:00+00:00,388_lower|lower|2019-07-09 03:23:00+00:00
389:upper,389,2019-07-08,2019-07-08 10:30:00-04:00,2019-08-05 10:30:00-04:00,2019-07-10,2019,upper,-1.0,7873.192209136437,2019-07-10 08:33:00-04:00,10.75,2019-07-10 15:00:00-04:00,True,True,True,-16.125,SL,2019-07-10 08:36:00-04:00,16.125,16.125,base_legacy_entrybar,389_upper,2019-07-10 12:33:00+00:00,389_upper|upper|2019-07-10 12:33:00+00:00
392:upper,392,2019-07-11,2019-07-11 10:30:00-04:00,2019-08-08 10:30:00-04:00,2019-07-16,2019,upper,-1.0,7994.358280096334,2019-07-15 19:54:00-04:00,5.25,2019-07-16 15:00:00-04:00,True,True,True,-0.0,BE,2019-07-15 20:41:00-04:00,7.875,7.875,base_legacy_entrybar,392_upper,2019-07-15 23:54:00+00:00,392_upper|upper|2019-07-15 23:54:00+00:00
399:upper,399,2019-07-22,2019-07-22 10:30:00-04:00,2019-08-19 10:30:00-04:00,2019-07-23,2019,upper,-1.0,7959.990078487765,2019-07-23 08:08:00-04:00,10.25,2019-07-23 15:00:00-04:00,True,True,True,15.375,TP,2019-07-23 09:38:00-04:00,15.375,15.375,base_legacy_entrybar,399_upper,2019-07-23 12:08:00+00:00,399_upper|upper|2019-07-23 12:08:00+00:00
403:lower,403,2019-07-26,2019-07-26 10:30:00-04:00,2019-08-23 10:30:00-04:00,2019-07-30,2019,lower,1.0,7941.555932796677,2019-07-30 07:31:00-04:00,13.75,2019-07-30 15:00:00-04:00,True,True,True,0.0,BE,2019-07-30 08:35:00-04:00,20.625,20.625,base_legacy_entrybar,403_lower,2019-07-30 11:31:00+00:00,403_lower|lower|2019-07-30 11:31:00+00:00
389:lower,389,2019-07-08,2019-07-08 10:30:00-04:00,2019-08-05 10:30:00-04:00,2019-08-02,2019,lower,1.0,7742.182790863563,2019-08-02 03:50:00-04:00,17.75,2019-08-02 15:00:00-04:00,True,True,True,0.0,BE,2019-08-02 04:53:00-04:00,26.625,26.625,base_legacy_entrybar,389_lower,2019-08-02 07:50:00+00:00,389_lower|lower|2019-08-02 07:50:00+00:00
390:lower,390,2019-07-09,2019-07-09 10:30:00-04:00,2019-08-06 10:30:00-04:00,2019-08-02,2019,lower,1.0,7705.005158577311,2019-08-02 10:08:00-04:00,85.0,2019-08-02 15:00:00-04:00,True,True,True,-21.50515857731079,cutoff,2019-08-02 15:00:00-04:00,127.5,127.5,base_legacy_entrybar,390_lower,2019-08-02 14:08:00+00:00,390_lower|lower|2019-08-02 14:08:00+00:00
408:lower,408,2019-08-02,2019-08-02 10:30:00-04:00,2019-08-30 10:30:00-04:00,2019-08-05,2019,lower,1.0,7636.544656962058,2019-08-04 21:35:00-04:00,19.75,2019-08-05 15:00:00-04:00,True,True,True,-29.625,SL,2019-08-04 22:17:00-04:00,29.625,29.625,base_legacy_entrybar,408_lower,2019-08-05 01:35:00+00:00,408_lower|lower|2019-08-05 01:35:00+00:00
411:upper,411,2019-08-07,2019-08-07 10:30:00-04:00,2019-09-04 10:30:00-04:00,2019-08-08,2019,upper,-1.0,7582.281783028347,2019-08-07 21:24:00-04:00,20.0,2019-08-08 15:00:00-04:00,True,True,True,-30.0,SL,2019-08-08 09:05:00-04:00,30.0,30.0,base_legacy_entrybar,411_upper,2019-08-08 01:24:00+00:00,411_upper|upper|2019-08-08 01:24:00+00:00
414:lower,414,2019-08-12,2019-08-12 10:30:00-04:00,2019-09-09 10:30:00-04:00,2019-08-13,2019,lower,1.0,7521.640114106753,2019-08-13 05:30:00-04:00,27.25,2019-08-13 15:00:00-04:00,True,True,True,0.0,BE,2019-08-13 06:17:00-04:00,40.875,40.875,base_legacy_entrybar,414_lower,2019-08-13 09:30:00+00:00,414_lower|lower|2019-08-13 09:30:00+00:00
414:upper,414,2019-08-12,2019-08-12 10:30:00-04:00,2019-09-09 10:30:00-04:00,2019-08-13,2019,upper,-1.0,7694.484885893247,2019-08-13 09:46:00-04:00,25.5,2019-08-13 15:00:00-04:00,True,True,True,-38.25,SL,2019-08-13 09:48:00-04:00,38.25,38.25,base_legacy_entrybar,414_upper,2019-08-13 13:46:00+00:00,414_upper|upper|2019-08-13 13:46:00+00:00
417:upper,417,2019-08-15,2019-08-15 10:30:00-04:00,2019-09-12 10:30:00-04:00,2019-08-16,2019,upper,-1.0,7624.934694968692,2019-08-16 10:59:00-04:00,37.0,2019-08-16 15:00:00-04:00,True,True,True,-0.0,BE,2019-08-16 13:25:00-04:00,55.5,55.5,base_legacy_entrybar,417_upper,2019-08-16 14:59:00+00:00,417_upper|upper|2019-08-16 14:59:00+00:00
418:upper,418,2019-08-16,2019-08-16 10:30:00-04:00,2019-09-13 10:30:00-04:00,2019-08-19,2019,upper,-1.0,7664.75497912878,2019-08-19 01:18:00-04:00,7.5,2019-08-19 15:00:00-04:00,True,True,True,-0.0,BE,2019-08-19 02:05:00-04:00,11.25,11.25,base_legacy_entrybar,418_upper,2019-08-19 05:18:00+00:00,418_upper|upper|2019-08-19 05:18:00+00:00
416:upper,416,2019-08-14,2019-08-14 10:30:00-04:00,2019-09-11 10:30:00-04:00,2019-08-19,2019,upper,-1.0,7698.231790929952,2019-08-19 03:03:00-04:00,29.5,2019-08-19 15:00:00-04:00,True,True,True,-0.0,BE,2019-08-19 06:56:00-04:00,44.25,44.25,base_legacy_entrybar,416_upper,2019-08-19 07:03:00+00:00,416_upper|upper|2019-08-19 07:03:00+00:00
421:lower,421,2019-08-21,2019-08-21 10:30:00-04:00,2019-09-18 10:30:00-04:00,2019-08-22,2019,lower,1.0,7670.164265236528,2019-08-22 10:35:00-04:00,24.0,2019-08-22 15:00:00-04:00,True,True,True,36.0,TP,2019-08-22 12:16:00-04:00,36.0,36.0,base_legacy_entrybar,421_lower,2019-08-22 14:35:00+00:00,421_lower|lower|2019-08-22 14:35:00+00:00
422:lower,422,2019-08-22,2019-08-22 10:30:00-04:00,2019-09-19 10:30:00-04:00,2019-08-23,2019,lower,1.0,7648.5269320504385,2019-08-23 08:25:00-04:00,17.5,2019-08-23 15:00:00-04:00,True,True,True,26.25,TP,2019-08-23 08:55:00-04:00,26.25,26.25,base_legacy_entrybar,422_lower,2019-08-23 12:25:00+00:00,422_lower|lower|2019-08-23 12:25:00+00:00
419:lower,419,2019-08-19,2019-08-19 10:30:00-04:00,2019-09-16 10:30:00-04:00,2019-08-23,2019,lower,1.0,7631.648645621291,2019-08-23 09:50:00-04:00,101.5,2019-08-23 15:00:00-04:00,True,True,True,0.0,BE,2019-08-23 11:02:00-04:00,152.25,152.25,base_legacy_entrybar,419_lower,2019-08-23 13:50:00+00:00,419_lower|lower|2019-08-23 13:50:00+00:00
424:upper,424,2019-08-26,2019-08-26 10:30:00-04:00,2019-09-23 10:30:00-04:00,2019-08-27,2019,upper,-1.0,7642.508695258361,2019-08-27 09:06:00-04:00,35.0,2019-08-27 15:00:00-04:00,True,True,True,52.5,TP,2019-08-27 11:16:00-04:00,52.5,52.5,base_legacy_entrybar,424_upper,2019-08-27 13:06:00+00:00,424_upper|upper|2019-08-27 13:06:00+00:00
