level_id,session_date,created_at,expiry_at,physical_touch,side,eligibility,skip_reason,position_state,sal_state,entry_time,exit_time,entry_price,exit_price,anchor,cap,exit_reason,pnl
444_upper,2019-09-24,2019-09-23 10:30:00-04:00,2019-10-21 10:30:00-04:00,2019-09-23 19:02:00-04:00,upper,executed,,flat,inactive,2019-09-23 19:02:00-04:00,2019-09-23 19:03:00-04:00,7904.190003267094,7891.440003267094,8.5,12.75,TP,12.75
439_lower,2019-09-16,2019-09-16 10:30:00-04:00,2019-10-14 10:30:00-04:00,2019-09-24 11:39:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
445_lower,2019-09-24,2019-09-24 10:30:00-04:00,2019-10-22 10:30:00-04:00,2019-09-24 11:39:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
436_lower,2019-09-11,2019-09-11 10:30:00-04:00,2019-10-09 10:30:00-04:00,2019-09-24 12:23:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
444_lower,2019-09-23,2019-09-23 10:30:00-04:00,2019-10-21 10:30:00-04:00,2019-09-24 12:23:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
432_lower,2019-09-05,2019-09-05 10:30:00-04:00,2019-10-03 10:30:00-04:00,2019-09-24 12:54:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
435_lower,2019-09-25,2019-09-10 10:30:00-04:00,2019-10-08 10:30:00-04:00,2019-09-25 04:49:00-04:00,lower,executed,,flat,inactive,2019-09-25 04:49:00-04:00,2019-09-25 10:54:00-04:00,7698.761779676393,7744.511779676393,30.5,45.75,TP,45.75
446_upper,2019-09-25,2019-09-25 10:30:00-04:00,2019-10-23 10:30:00-04:00,2019-09-25 15:05:00-04:00,upper,skipped,no_cutoff,n/a,n/a,,,,,,,,
447_lower,2019-09-26,2019-09-26 10:30:00-04:00,2019-10-24 10:30:00-04:00,2019-09-27 11:38:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
448_lower,2019-09-27,2019-09-27 10:30:00-04:00,2019-10-25 10:30:00-04:00,2019-09-27 12:59:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
449_upper,2019-10-01,2019-09-30 10:30:00-04:00,2019-10-28 10:30:00-04:00,2019-09-30 21:02:00-04:00,upper,executed,,flat,inactive,2019-09-30 21:02:00-04:00,2019-10-01 10:13:00-04:00,7806.146137609452,7768.271137609452,25.25,37.875,TP,37.875
450_lower,2019-10-02,2019-10-01 10:30:00-04:00,2019-10-29 10:30:00-04:00,2019-10-02 03:10:00-04:00,lower,executed,,flat,inactive,2019-10-02 03:10:00-04:00,2019-10-02 03:22:00-04:00,7689.38138584795,7663.88138584795,17.0,25.5,SL,-25.5
449_lower,2019-09-30,2019-09-30 10:30:00-04:00,2019-10-28 10:30:00-04:00,2019-10-02 04:44:00-04:00,lower,skipped,SAL,n/a,active,,,,,,,,
446_lower,2019-09-25,2019-09-25 10:30:00-04:00,2019-10-23 10:30:00-04:00,2019-10-02 09:38:00-04:00,lower,skipped,SAL,n/a,active,,,,,,,,
431_lower,2019-09-04,2019-09-04 10:30:00-04:00,2019-10-02 10:30:00-04:00,2019-10-02 09:53:00-04:00,lower,skipped,SAL,n/a,active,,,,,,,,
451_lower,2019-10-02,2019-10-02 10:30:00-04:00,2019-10-30 10:30:00-04:00,2019-10-02 12:47:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
452_upper,2019-10-04,2019-10-03 10:30:00-04:00,2019-10-31 10:30:00-04:00,2019-10-04 08:31:00-04:00,upper,executed,,flat,inactive,2019-10-04 08:31:00-04:00,2019-10-04 08:48:00-04:00,7686.64445205237,7663.01945205237,15.75,23.625,TP,23.625
451_upper,2019-10-02,2019-10-02 10:30:00-04:00,2019-10-30 10:30:00-04:00,2019-10-04 11:38:00-04:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
453_upper,2019-10-04,2019-10-04 10:30:00-04:00,2019-11-01 10:30:00-04:00,2019-10-07 11:02:00-04:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
