level_id,session_date,year,side,entry_time,exit_time,entry_price,tp_dist,sl_dist,pnl_pts,r_multiple,exit_reason
698_lower,2020-09-18,2020,lower,2020-09-18 16:32:00+00:00,2020-09-18 13:28:00-04:00,10865.520988728604,102.75,84.75,-84.75,-1.0,SL
697_lower,2020-09-21,2020,lower,2020-09-21 08:48:00+00:00,2020-09-21 13:16:00-04:00,10727.425618727217,126.0,97.75,126.0,1.289002557544757,TP
701_lower,2020-09-23,2020,lower,2020-09-23 18:19:00+00:00,2020-09-23 15:02:00-04:00,10889.008297915436,74.0,65.75,-65.75,-1.0,SL
702_upper,2020-09-25,2020,upper,2020-09-25 18:07:00+00:00,2020-09-25 15:18:00-04:00,11086.21013934764,82.0,69.0,-69.0,-1.0,SL
697_upper,2020-09-28,2020,upper,2020-09-28 08:10:00+00:00,2020-09-28 06:11:00-04:00,11249.324381272783,82.5,66.75,-66.75,-1.0,SL
705_lower,2020-09-30,2020,lower,2020-09-30 06:10:00+00:00,2020-09-30 02:56:00-04:00,11169.921437132629,55.25,56.25,55.25,0.9822222222222222,TP
704_upper,2020-10-01,2020,upper,2020-10-01 09:41:00+00:00,2020-10-01 15:59:00-04:00,11532.33747309487,88.0,72.25,-40.1625269051292,-0.555882725330508,cutoff
707_lower,2020-10-02,2020,lower,2020-10-02 05:30:00+00:00,2020-10-02 02:29:00-04:00,11332.60493006846,81.5,76.5,81.5,1.065359477124183,TP
710_lower,2020-10-06,2020,lower,2020-10-06 19:07:00+00:00,2020-10-06 15:12:00-04:00,11247.116288424257,70.0,70.0,70.0,1.0,TP
709_upper,2020-10-08,2020,upper,2020-10-08 06:42:00+00:00,2020-10-08 10:24:00-04:00,11565.107239575818,60.5,54.5,60.5,1.110091743119266,TP
711_upper,2020-10-09,2020,upper,2020-10-09 03:08:00+00:00,2020-10-09 02:44:00-04:00,11596.25264073798,29.25,32.25,29.25,0.9069767441860465,TP
708_upper,2020-10-09,2020,upper,2020-10-09 12:56:00+00:00,2020-10-09 09:32:00-04:00,11616.392866816184,27.5,31.5,27.5,0.873015873015873,TP
695_upper,2020-10-09,2020,upper,2020-10-09 13:35:00+00:00,2020-10-09 10:47:00-04:00,11618.987828672012,32.5,35.0,-35.0,-1.0,SL
707_upper,2020-10-12,2020,upper,2020-10-11 23:46:00+00:00,2020-10-12 04:11:00-04:00,11749.39506993154,62.0,56.5,-56.5,-1.0,SL
715_lower,2020-10-15,2020,lower,2020-10-15 02:50:00+00:00,2020-10-15 04:06:00-04:00,11886.27611815851,75.0,62.75,-62.75,-1.0,SL
718_lower,2020-10-19,2020,lower,2020-10-19 16:21:00+00:00,2020-10-19 14:39:00-04:00,11749.344189490836,60.75,57.25,-57.25,-1.0,SL
717_lower,2020-10-22,2020,lower,2020-10-22 14:32:00+00:00,2020-10-22 11:21:00-04:00,11559.063209803786,51.75,53.5,51.75,0.9672897196261683,TP
721_lower,2020-10-26,2020,lower,2020-10-26 15:44:00+00:00,2020-10-26 11:52:00-04:00,11454.4142704681,43.25,46.5,43.25,0.9301075268817204,TP
720_lower,2020-10-26,2020,lower,2020-10-26 16:34:00+00:00,2020-10-26 13:06:00-04:00,11446.374852771783,46.25,47.5,-47.5,-1.0,SL
712_lower,2020-10-28,2020,lower,2020-10-28 13:40:00+00:00,2020-10-28 09:52:00-04:00,11338.641182449986,45.75,45.75,-45.75,-1.0,SL
708_lower,2020-10-30,2020,lower,2020-10-30 05:45:00+00:00,2020-10-30 05:33:00-04:00,11084.857133183816,87.25,76.0,87.25,1.1480263157894737,TP
729_upper,2020-11-04,2020,upper,2020-11-04 01:52:00+00:00,2020-11-03 22:00:00-05:00,11392.75306250971,122.25,101.0,-101.0,-1.0,SL
723_upper,2020-11-05,2020,upper,2020-11-05 03:27:00+00:00,2020-11-04 22:40:00-05:00,11875.730155823774,141.75,100.0,-100.0,-1.0,SL
