sess_date,year,side,touched_at,exit_ts,level,anchor,stop_pts,pnl
2024-09-26,2024,upper,2024-09-26 01:27:00-04:00,2024-09-26 15:00:00-04:00,5810.601016005108,4.0,6.0,-6.0
2024-10-01,2024,lower,2024-10-01 10:10:00-04:00,2024-10-01 15:00:00-04:00,5749.911706377584,53.75,80.625,26.83829362241613
2024-10-09,2024,upper,2024-10-09 10:57:00-04:00,2024-10-09 15:00:00-04:00,5815.752965526297,12.5,18.75,-18.75
2024-10-11,2024,upper,2024-10-11 10:16:00-04:00,2024-10-11 15:00:00-04:00,5858.792168001349,17.0,25.5,-2.9578319986512724
2024-10-14,2024,upper,2024-10-14 06:16:00-04:00,2024-10-14 15:00:00-04:00,5871.327705593691,5.0,7.5,-7.5
2024-10-17,2024,upper,2024-10-17 09:08:00-04:00,2024-10-17 15:00:00-04:00,5925.859676628439,9.75,14.625,14.625
2024-10-31,2024,lower,2024-10-31 02:30:00-04:00,2024-10-31 15:00:00-04:00,5820.443396025378,3.5,5.25,-5.25
2024-11-06,2024,upper,2024-11-05 19:22:00-05:00,2024-11-06 15:00:00-05:00,5829.137598291607,9.75,14.625,-14.625
2024-11-07,2024,upper,2024-11-07 09:56:00-05:00,2024-11-07 15:00:00-05:00,5985.073702735956,10.0,15.0,-15.0
2024-11-15,2024,lower,2024-11-14 19:32:00-05:00,2024-11-15 15:00:00-05:00,5962.964871054991,9.75,14.625,-14.625
2024-11-19,2024,lower,2024-11-19 08:53:00-05:00,2024-11-19 15:00:00-05:00,5871.122485117488,12.75,19.125,19.125
2024-11-20,2024,upper,2024-11-20 02:44:00-05:00,2024-11-20 15:00:00-05:00,5955.793515037558,9.0,13.5,13.5
2024-11-22,2024,upper,2024-11-22 09:45:00-05:00,2024-11-22 15:00:00-05:00,5989.502514882512,8.75,13.125,13.125
2024-11-25,2024,upper,2024-11-25 09:35:00-05:00,2024-11-25 15:00:00-05:00,6034.372245571641,17.5,26.25,26.25
2024-11-25,2024,upper,2024-11-25 09:40:00-05:00,2024-11-25 15:00:00-05:00,6038.77860291516,17.5,26.25,26.25
2024-12-04,2024,upper,2024-12-04 03:52:00-05:00,2024-12-04 15:00:00-05:00,6075.655687003935,3.0,4.5,-4.5
2024-12-10,2024,lower,2024-12-10 04:39:00-05:00,2024-12-10 15:00:00-05:00,6058.237895277487,4.25,6.375,6.375
2024-12-16,2024,upper,2024-12-15 19:00:00-05:00,2024-12-16 15:00:00-05:00,6121.60387034663,7.25,10.875,-10.875
2024-12-20,2024,lower,2024-12-20 04:07:00-05:00,2024-12-20 15:00:00-05:00,5889.710178382854,31.25,46.875,46.875
2024-12-24,2024,upper,2024-12-24 10:07:00-05:00,2024-12-24 15:00:00-05:00,6067.0997925579495,17.75,26.625,-26.625
2024-12-27,2024,lower,2024-12-27 10:04:00-05:00,2024-12-27 15:00:00-05:00,6026.188002038942,26.75,40.125,-40.125
2024-12-30,2024,lower,2024-12-30 07:49:00-05:00,2024-12-30 15:00:00-05:00,5967.272404976104,4.5,6.75,-6.75
2025-01-02,2025,lower,2025-01-01 19:18:00-05:00,2025-01-02 15:00:00-05:00,5911.269043928293,22.0,33.0,33.0
2025-01-06,2025,upper,2025-01-06 04:02:00-05:00,2025-01-06 15:00:00-05:00,6010.450601293584,10.5,15.75,-15.75
2025-01-07,2025,lower,2025-01-07 10:39:00-05:00,2025-01-07 15:00:00-05:00,5977.664445461892,17.0,25.5,25.5
2025-01-10,2025,lower,2025-01-10 09:53:00-05:00,2025-01-10 15:00:00-05:00,5885.063679806023,63.5,95.25,-7.563679806023174
2025-01-13,2025,lower,2025-01-13 04:04:00-05:00,2025-01-13 15:00:00-05:00,5813.140298028465,23.0,34.5,34.5
2025-01-13,2025,lower,2025-01-13 04:04:00-05:00,2025-01-13 15:00:00-05:00,5811.560271070111,23.0,34.5,34.5
2025-01-15,2025,upper,2025-01-15 08:34:00-05:00,2025-01-15 15:00:00-05:00,5964.920241777897,7.75,11.625,-11.625
2025-01-16,2025,upper,2025-01-16 02:29:00-05:00,2025-01-16 15:00:00-05:00,6008.686320193977,17.5,26.25,26.25
2025-01-20,2025,upper,2025-01-20 08:54:00-05:00,2025-01-20 15:00:00-05:00,6054.122116345251,10.75,16.125,-16.125
2025-01-21,2025,lower,2025-01-20 19:59:00-05:00,2025-01-21 15:00:00-05:00,6011.090588171079,12.25,18.375,18.375
2025-01-22,2025,upper,2025-01-21 19:45:00-05:00,2025-01-22 15:00:00-05:00,6099.835554538108,12.25,18.375,-18.375
2025-01-24,2025,upper,2025-01-23 21:17:00-05:00,2025-01-24 15:00:00-05:00,6155.307117852728,4.75,7.125,7.125
2025-01-27,2025,lower,2025-01-26 20:46:00-05:00,2025-01-27 15:00:00-05:00,6073.317882147272,20.75,31.125,-31.125
