sess_date,year,side,touched_at,level,anchor,cap,pnl_be60,exit_be60,mae,mfe,uw60,be_dd
2021-02-22,2021,lower,2021-02-22 02:06:00-05:00,13493.982062487335,32.0,48.0,-48.0,SL,-50.732,5.018,,False
2021-02-23,2021,lower,2021-02-23 04:03:00-05:00,13180.62114639175,105.25,157.875,0.0,BE,-110.121,6.379,True,True
2021-02-23,2021,lower,2021-02-23 04:13:00-05:00,13138.126875704074,105.25,157.875,0.0,BE,-115.377,22.123,True,True
2021-02-23,2021,lower,2021-02-23 09:50:00-05:00,12767.362877597001,61.0,91.5,91.5,TP,-1.113,94.887,,False
2021-02-24,2021,upper,2021-02-24 07:56:00-05:00,13294.905916763611,63.5,95.25,95.25,TP,0.0,97.156,,False
2021-03-03,2021,lower,2021-03-03 08:34:00-05:00,13016.401124013051,51.0,76.5,0.0,BE,-52.151,35.599,False,False
2021-03-03,2021,lower,2021-03-03 10:13:00-05:00,12855.840824947016,159.25,200.0,0.0,BE,-34.591,114.409,False,False
2021-03-04,2021,lower,2021-03-03 22:58:00-05:00,12543.721079432133,87.0,130.5,130.5,TP,-32.471,130.779,False,False
2021-03-05,2021,lower,2021-03-04 20:14:00-05:00,12304.997183398267,79.0,118.5,118.5,TP,0.0,122.003,False,False
2021-03-10,2021,upper,2021-03-10 08:35:00-05:00,12884.42255597324,39.0,58.5,58.5,TP,-1.077,60.673,,False
2021-03-10,2021,upper,2021-03-10 09:05:00-05:00,12909.141971053332,172.0,200.0,-0.0,BE,-84.108,38.642,True,True
2021-03-10,2021,upper,2021-03-10 09:07:00-05:00,12931.270088192054,172.0,200.0,-0.0,BE,-61.98,60.77,True,True
2021-03-11,2021,upper,2021-03-11 04:19:00-05:00,12996.127816601733,77.0,115.5,-0.0,BE,-2.872,37.378,False,False
2021-03-16,2021,upper,2021-03-15 21:16:00-04:00,13090.352101714769,28.5,42.75,-0.0,BE,-31.398,2.352,True,True
