sess_date,year,side,touched_at,level,anchor,cap,pnl_standard,exit_standard
2021-02-22,2021,lower,2021-02-22 02:06:00-05:00,13493.982062487335,32.0,48.0,-48.0,SL
2021-02-23,2021,lower,2021-02-23 04:03:00-05:00,13180.62114639175,105.25,157.875,-157.875,SL
2021-02-24,2021,upper,2021-02-24 07:56:00-05:00,13294.905916763611,63.5,95.25,95.25,TP
2021-03-03,2021,lower,2021-03-03 08:34:00-05:00,13016.401124013051,51.0,76.5,-76.5,SL
2021-03-04,2021,lower,2021-03-03 22:58:00-05:00,12543.721079432133,87.0,130.5,130.5,TP
2021-03-05,2021,lower,2021-03-04 20:14:00-05:00,12304.997183398267,79.0,118.5,118.5,TP
2021-03-10,2021,upper,2021-03-10 08:35:00-05:00,12884.42255597324,39.0,58.5,58.5,TP
2021-03-10,2021,upper,2021-03-10 09:05:00-05:00,12909.141971053332,172.0,200.0,87.14197105333187,cutoff
2021-03-10,2021,upper,2021-03-10 09:07:00-05:00,12931.270088192054,172.0,200.0,200.0,TP
2021-03-11,2021,upper,2021-03-11 04:19:00-05:00,12996.127816601733,77.0,115.5,-115.5,SL
2021-03-16,2021,upper,2021-03-15 21:16:00-04:00,13090.352101714769,28.5,42.75,-42.75,SL
2021-03-17,2021,lower,2021-03-17 09:39:00-04:00,12945.071957511602,43.25,64.875,64.875,TP
2021-03-19,2021,lower,2021-03-19 02:01:00-04:00,12739.774038695905,43.75,65.625,65.625,TP
2021-03-19,2021,lower,2021-03-19 02:01:00-04:00,12727.008373529017,43.75,65.625,65.625,TP
2021-03-22,2021,upper,2021-03-22 10:00:00-04:00,13022.717653119242,93.25,139.875,-120.53234688075827,cutoff
2021-03-24,2021,lower,2021-03-24 10:17:00-04:00,12917.899088749797,140.0,200.0,-58.64908874979665,cutoff
2021-03-25,2021,lower,2021-03-25 07:53:00-04:00,12741.205908997852,24.0,36.0,-36.0,SL
2021-03-31,2021,upper,2021-03-31 10:00:00-04:00,13057.544428571517,103.25,154.875,-68.45557142848338,cutoff
2021-04-01,2021,upper,2021-04-01 03:24:00-04:00,13181.85833179647,43.0,64.5,-64.5,SL
2021-04-05,2021,upper,2021-04-05 08:40:00-04:00,13414.803042488398,23.25,34.875,-34.875,SL
2021-04-08,2021,upper,2021-04-08 06:27:00-04:00,13739.329262634976,31.25,46.875,46.875,TP
2021-04-08,2021,upper,2021-04-08 09:57:00-04:00,13752.062079921416,26.25,39.375,39.375,TP
2021-04-13,2021,upper,2021-04-13 08:39:00-04:00,13873.479850750839,33.75,50.625,-50.625,SL
2021-04-21,2021,lower,2021-04-20 22:01:00-04:00,13715.223625595678,23.25,34.875,34.875,TP
2021-04-27,2021,upper,2021-04-27 01:51:00-04:00,14049.651374404322,6.0,9.0,9.0,TP
2021-04-29,2021,upper,2021-04-29 08:44:00-04:00,14051.393956724412,26.75,40.125,40.125,TP
2021-04-29,2021,upper,2021-04-29 08:53:00-04:00,14061.127568847576,26.75,40.125,40.125,TP
2021-05-04,2021,lower,2021-05-03 20:20:00-04:00,13755.986604749303,24.75,37.125,-37.125,SL
2021-05-06,2021,lower,2021-05-06 10:21:00-04:00,13388.96846679183,84.5,126.75,126.75,TP
2021-05-07,2021,upper,2021-05-07 08:30:00-04:00,13677.48205119757,17.0,25.5,-25.5,SL
2021-05-10,2021,lower,2021-05-10 10:30:00-04:00,13495.178507508765,157.0,200.0,-106.4285075087646,cutoff
2021-05-11,2021,lower,2021-05-10 20:54:00-04:00,13256.14294880243,16.0,24.0,-24.0,SL
2021-05-13,2021,lower,2021-05-13 04:50:00-04:00,12917.82391110361,115.25,172.875,172.875,TP
2021-05-19,2021,lower,2021-05-18 20:07:00-04:00,13159.67258306895,56.5,84.75,-84.75,SL
2021-05-21,2021,upper,2021-05-20 20:09:00-04:00,13529.45241693105,27.0,40.5,-40.5,SL
2021-05-25,2021,upper,2021-05-25 02:14:00-04:00,13721.457519968146,30.75,46.125,46.125,TP
2021-06-03,2021,lower,2021-06-03 06:58:00-04:00,13572.782154047016,35.5,53.25,-53.25,SL
2021-06-04,2021,upper,2021-06-04 10:01:00-04:00,13718.091853387603,112.25,168.375,-57.658146612397104,cutoff
2021-06-08,2021,upper,2021-06-07 19:24:00-04:00,13833.048159451191,14.25,21.375,-21.375,SL
2021-06-10,2021,upper,2021-06-10 09:46:00-04:00,13935.08558585964,109.5,164.25,-17.66441414035944,cutoff
2021-06-14,2021,upper,2021-06-14 06:38:00-04:00,14029.2275428399,10.5,15.75,15.75,TP
2021-06-15,2021,upper,2021-06-14 21:15:00-04:00,14152.666148882203,41.25,61.875,61.875,TP
2021-06-18,2021,upper,2021-06-17 21:45:00-04:00,14199.654863564487,20.75,31.125,31.125,TP
2021-06-23,2021,upper,2021-06-22 20:10:00-04:00,14282.770750377364,9.75,14.625,-14.625,SL
2021-07-02,2021,upper,2021-07-02 09:01:00-04:00,14643.198381504113,56.75,85.125,-46.30161849588694,cutoff
2021-07-06,2021,upper,2021-07-06 09:32:00-04:00,14769.97071956765,18.5,27.75,27.75,TP
2021-07-07,2021,upper,2021-07-07 03:06:00-04:00,14806.114928665245,15.75,23.625,-23.625,SL
2021-07-08,2021,lower,2021-07-08 03:46:00-04:00,14671.044908797909,34.5,51.75,-51.75,SL
2021-07-12,2021,upper,2021-07-12 08:20:00-04:00,14868.276518067436,17.5,26.25,26.25,TP
2021-07-12,2021,upper,2021-07-12 09:32:00-04:00,14887.391992382349,35.5,53.25,53.25,TP
2021-07-15,2021,lower,2021-07-15 09:38:00-04:00,14814.252863178532,32.5,48.75,48.75,TP
2021-07-19,2021,lower,2021-07-18 19:34:00-04:00,14617.459438183269,31.0,46.5,46.5,TP
2021-07-19,2021,lower,2021-07-19 07:44:00-04:00,14526.598481932564,32.75,49.125,-49.125,SL
2021-07-22,2021,upper,2021-07-22 09:42:00-04:00,14882.366829089071,24.5,36.75,-36.75,SL
2021-07-23,2021,upper,2021-07-23 05:39:00-04:00,15012.191094334647,19.25,28.875,28.875,TP
2021-07-23,2021,upper,2021-07-23 10:38:00-04:00,15016.540561816731,59.75,89.625,-89.625,SL
2021-07-26,2021,upper,2021-07-25 19:21:00-04:00,15120.247136821468,18.5,27.75,27.75,TP
2021-07-27,2021,lower,2021-07-27 10:36:00-04:00,14921.995893743886,85.5,128.25,-128.25,SL
2021-07-30,2021,lower,2021-07-29 20:47:00-04:00,14826.22986524775,61.75,92.625,92.625,TP
2021-08-12,2021,lower,2021-08-12 09:36:00-04:00,14956.42257734829,42.5,63.75,63.75,TP
2021-08-12,2021,lower,2021-08-12 09:45:00-04:00,14950.043816398447,42.5,63.75,63.75,TP
2021-08-16,2021,lower,2021-08-16 10:28:00-04:00,14942.374736532061,90.5,135.75,135.75,TP
2021-08-19,2021,lower,2021-08-19 02:58:00-04:00,14740.080070638804,30.75,46.125,46.125,TP
2021-08-19,2021,lower,2021-08-19 02:58:00-04:00,14749.254664502118,30.75,46.125,46.125,TP
2021-08-20,2021,upper,2021-08-20 09:46:00-04:00,15017.266824294666,59.0,88.5,-48.98317570533436,cutoff
2021-08-23,2021,upper,2021-08-23 01:11:00-04:00,15153.221444576327,6.0,9.0,9.0,TP
2021-08-23,2021,upper,2021-08-23 09:32:00-04:00,15160.25267047382,16.75,25.125,-25.125,SL
2021-08-24,2021,upper,2021-08-24 02:36:00-04:00,15364.265950275054,20.0,30.0,30.0,TP
2021-08-30,2021,upper,2021-08-30 09:33:00-04:00,15484.655610356942,14.75,22.125,-22.125,SL
2021-08-31,2021,upper,2021-08-31 02:14:00-04:00,15671.691483257986,26.5,39.75,39.75,TP
2021-09-08,2021,lower,2021-09-08 10:38:00-04:00,15570.883865846456,60.0,90.0,34.86613415354441,cutoff
2021-09-13,2021,lower,2021-09-13 01:07:00-04:00,15415.380775283047,9.0,13.5,13.5,TP
2021-09-13,2021,lower,2021-09-13 10:01:00-04:00,15391.201243038602,129.25,193.875,-31.201243038602115,cutoff
2021-09-20,2021,lower,2021-09-19 22:16:00-04:00,15255.1655824113,30.0,45.0,-45.0,SL
2021-09-23,2021,upper,2021-09-23 05:08:00-04:00,15299.061195048975,20.75,31.125,31.125,TP
2021-09-23,2021,upper,2021-09-23 05:08:00-04:00,15296.048377097144,20.75,31.125,31.125,TP
2021-09-23,2021,upper,2021-09-23 10:03:00-04:00,15317.193855351527,121.5,182.25,-8.556144648473492,cutoff
2021-09-27,2021,upper,2021-09-26 21:31:00-04:00,15382.419064245358,59.0,88.5,88.5,TP
2021-09-28,2021,lower,2021-09-28 03:19:00-04:00,15050.330935754642,127.25,190.875,-190.875,SL
2021-10-01,2021,lower,2021-09-30 21:08:00-04:00,14625.509577891058,51.25,76.875,76.875,TP
2021-10-01,2021,lower,2021-09-30 21:11:00-04:00,14599.441719688431,51.25,76.875,76.875,TP
2021-10-07,2021,upper,2021-10-06 20:36:00-04:00,14831.385381404469,33.75,50.625,-50.625,SL
2021-10-11,2021,lower,2021-10-10 19:39:00-04:00,14720.10499822078,77.75,116.625,116.625,TP
2021-10-14,2021,upper,2021-10-14 08:30:00-04:00,14938.793156548334,45.75,68.625,-68.625,SL
2021-10-15,2021,upper,2021-10-15 01:58:00-04:00,15107.52000177922,26.0,39.0,39.0,TP
2021-10-19,2021,upper,2021-10-19 10:58:00-04:00,15374.50773238502,55.75,83.625,-0.7422676149799372,cutoff
2021-10-26,2021,upper,2021-10-25 20:09:00-04:00,15555.53419964312,18.0,27.0,-27.0,SL
2021-11-05,2021,upper,2021-11-05 09:33:00-04:00,16425.401381401833,67.75,101.625,101.625,TP
2021-11-09,2021,lower,2021-11-09 09:58:00-05:00,16240.353578456474,49.25,73.875,-73.875,SL
2021-11-10,2021,lower,2021-11-10 09:32:00-05:00,16056.304931374681,81.0,121.5,121.5,TP
2021-11-15,2021,upper,2021-11-15 08:20:00-05:00,16273.028589163645,14.75,22.125,22.125,TP
2021-11-18,2021,upper,2021-11-18 09:47:00-05:00,16417.715750437408,20.25,30.375,30.375,TP
2021-11-19,2021,upper,2021-11-18 20:47:00-05:00,16533.348439223577,11.75,17.625,-17.625,SL
2021-11-22,2021,upper,2021-11-22 10:04:00-05:00,16756.992745632924,104.0,156.0,156.0,TP
2021-11-23,2021,lower,2021-11-22 21:23:00-05:00,16358.632254367074,42.5,63.75,-63.75,SL
2021-11-26,2021,lower,2021-11-26 02:06:00-05:00,16226.186692272446,71.0,106.5,-106.5,SL
2021-11-30,2021,upper,2021-11-30 10:10:00-05:00,16448.308599813936,99.25,148.875,148.875,TP
